Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
146,Ferreira,br BRA,"MF,FW",São Paulo,26-138,1997,1.2,2,6,3,50.0,5.09,2.55,0.33,0.67,16.0,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches
147,Filipinho,br BRA,"MF,FW",Ath Paranaense,22-212,2001,0.6,0,1,0,0.0,1.67,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
148,Alan Franco,ec ECU,MF,Atlético Mineiro,25-270,1998,4.0,0,3,0,0.0,0.76,0.00,0.00,,20.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
149,Alan Franco,ar ARG,DF,São Paulo,27-219,1996,3.5,0,2,0,0.0,0.57,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
150,Lucas Freitas,br BRA,DF,Juventude,23-118,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
151,Marlon Freitas,br BRA,MF,Botafogo (RJ),29-051,1995,3.5,0,3,0,0.0,0.85,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
152,Bruno Fuchs,br BRA,DF,Atlético Mineiro,25-046,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
153,Gabriel,br BRA,DF,Bahia,23-011,2001,5.0,0,5,1,20.0,1.00,0.20,0.00,0.00,11.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
154,Gabriel,br BRA,GK,Juventude,31-233,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,Marquinhos Gabriel,br BRA,MF,Criciúma,33-301,1990,2.6,0,2,1,50.0,0.78,0.39,0.00,0.00,30.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
156,Zé Gabriel,br BRA,MF,Vasco da Gama,25-117,1999,0.7,0,2,0,0.0,2.77,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
157,Pablo Galdames Millán,cl CHI,MF,Vasco da Gama,27-139,1996,4.6,0,4,1,25.0,0.88,0.22,0.00,0.00,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
158,Giuliano Galoppo,ar ARG,MF,São Paulo,24-334,1999,1.7,0,6,4,66.7,3.55,2.37,0.00,0.00,19.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
159,Léo Gamalho,br BRA,FW,Vitória,38-108,1986,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
160,Mateo Gamarra,py PAR,DF,Ath Paranaense,23-210,2000,3.0,0,4,2,50.0,1.33,0.67,0.00,0.00,14.9,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
161,Ganso,br BRA,MF,Fluminense,34-218,1989,4.0,1,1,1,100.0,0.25,0.25,1.00,1.00,9.2,0,0,0,0.3,0.3,0.30,+0.7,+0.7,Matches
162,Luan Garcia,br BRA,DF,Palmeiras,31-007,1993,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
163,Rodrigo Garro,ar ARG,MF,Corinthians,26-134,1998,5.7,0,9,3,33.3,1.59,0.53,0.00,0.00,24.1,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
164,Pedro Geromel,br BRA,DF,Grêmio,38-239,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
165,Gerson,br BRA,"FW,MF",Flamengo,26-363,1997,3.0,0,1,0,0.0,0.34,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
166,Gilberto,br BRA,FW,Juventude,34-347,1989,0.2,0,1,0,0.0,5.29,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
167,Luciano Giménez,ar ARG,FW,Cuiabá,24-089,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
168,Giovane,br BRA,DF,Corinthians,20-175,2003,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,27.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
169,Leonardo Godoy,ar ARG,DF,Ath Paranaense,29-019,1995,4.5,1,2,1,50.0,0.45,0.22,0.50,1.00,21.1,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
170,Bruno Gomes,br BRA,MF,Internacional,23-043,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
171,Igor Gomes,br BRA,MF,Atlético Mineiro,25-061,1999,2.2,0,4,1,25.0,1.82,0.45,0.00,0.00,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
172,Igor Gomes,br BRA,DF,Internacional,23-072,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
173,William Gomes,br BRA,DF,São Paulo,18-063,2006,0.3,0,2,1,50.0,6.92,3.46,0.00,0.00,13.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
174,Gustavo Gómez,py PAR,DF,Palmeiras,31-011,1993,5.0,0,8,1,12.5,1.60,0.20,0.00,0.00,10.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
175,Mateus Gonçalves Martins,br BRA,"MF,FW",Vitória,29-232,1994,2.3,0,3,1,33.3,1.29,0.43,0.00,0.00,20.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
176,Yony González,co COL,"MF,FW",Atl Goianiense,29-311,1994,1.1,0,2,1,50.0,1.80,0.90,0.00,0.00,19.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
177,Gregore,br BRA,MF,Botafogo (RJ),30-076,1994,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
178,Guga,br BRA,DF,Fluminense,25-262,1998,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
179,Guilherme,br BRA,DF,Red Bull Bragantino,22-093,2002,1.2,0,2,0,0.0,1.62,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
180,Luis Guilherme,br BRA,"FW,DF",Palmeiras,18-098,2006,1.5,0,2,0,0.0,1.30,0.00,0.00,,16.1,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
181,Zé Guilherme,br BRA,DF,Grêmio,19-062,2005,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
182,Gustavinho,br BRA,MF,Red Bull Bragantino,20-024,2004,4.3,0,3,1,33.3,0.70,0.23,0.00,0.00,25.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
183,Gustavo,br BRA,GK,Criciúma,31-068,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
184,Lucas Halter,br BRA,DF,Botafogo (RJ),24-015,2000,4.8,0,3,1,33.3,0.63,0.21,0.00,0.00,13.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
185,Thiago Heleno,br BRA,DF,Ath Paranaense,35-243,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
186,Helinho,br BRA,FW,Red Bull Bragantino,24-022,2000,1.2,0,4,1,25.0,3.36,0.84,0.00,0.00,36.8,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
187,Bruno Henrique,br BRA,FW,Flamengo,33-139,1990,4.3,1,13,4,30.8,3.00,0.92,0.08,0.25,21.9,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
188,Bruno Henrique,br BRA,MF,Internacional,34-209,1989,2.6,0,2,0,0.0,0.77,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
189,Gustavo Henrique,br BRA,DF,Corinthians,31-054,1993,2.8,0,4,0,0.0,1.43,0.00,0.00,,10.0,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
190,Luiz Henrique,br BRA,"MF,FW",Botafogo (RJ),23-136,2001,3.6,1,7,1,14.3,1.95,0.28,0.14,1.00,25.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
191,Paulo Henrique,br BRA,DF,Vasco da Gama,27-297,1996,5.0,0,5,1,20.0,1.00,0.20,0.00,0.00,22.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
192,Pedro Henrique,br BRA,FW,Corinthians,33-336,1990,0.8,0,1,0,0.0,1.20,0.00,0.00,,14.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
193,Pedro Henrique,br BRA,DF,Red Bull Bragantino,28-228,1995,3.0,1,1,1,100.0,0.33,0.33,1.00,1.00,9.4,0,0,0,0.1,0.1,0.14,+0.9,+0.9,Matches
194,Hércules,br BRA,MF,Fortaleza,23-210,2000,3.9,1,6,3,50.0,1.53,0.76,0.17,0.33,20.8,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
195,Marcelo Hermes,br BRA,"DF,MF",Criciúma,29-106,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
196,Diego Hernández,uy URU,"FW,MF",Botafogo (RJ),23-330,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
197,Lucca Holanda,br BRA,"FW,DF",Internacional,21-045,2003,1.4,0,1,0,0.0,0.72,0.00,0.00,,12.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
198,Hugo,br BRA,"DF,MF",Corinthians,26-262,1997,5.6,0,5,1,20.0,0.90,0.18,0.00,0.00,20.6,1,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
199,Hugo,br BRA,DF,Botafogo (RJ),22-240,2001,4.0,0,1,0,0.0,0.25,0.00,0.00,,9.7,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
200,Vitor Hugo Amorim,br BRA,MF,Cruzeiro,20-089,2004,0.3,0,1,0,0.0,3.60,0.00,0.00,,26.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
201,José Hugo,br BRA,DF,Vitória,24-213,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
202,Victor Hugo,br BRA,FW,Flamengo,20-006,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
203,Hulk,br BRA,FW,Atlético Mineiro,37-297,1986,3.7,0,8,0,0.0,2.18,0.00,0.00,,25.6,3,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
204,José Hurtado,ec ECU,DF,Red Bull Bragantino,22-146,2001,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
205,Igor,br BRA,MF,Flamengo,21-071,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
206,Gabriel Inocêncio,br BRA,DF,Juventude,29-271,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
207,Isaac,br BRA,DF,Fluminense,20-023,2004,0.1,0,1,0,0.0,7.50,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
208,Zé Ivaldo,br BRA,"DF,MF",Cruzeiro,27-086,1997,3.5,0,9,2,22.2,2.57,0.57,0.00,0.00,23.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
209,Jadsom,br BRA,MF,Red Bull Bragantino,22-363,2001,4.1,0,3,0,0.0,0.73,0.00,0.00,,26.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
210,Jadson,br BRA,MF,Juventude,30-261,1993,3.0,0,5,3,60.0,1.67,1.00,0.00,0.00,23.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
211,Janderson,br BRA,"FW,DF",Vitória,25-011,1999,1.9,0,3,1,33.3,1.54,0.51,0.00,0.00,39.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
212,Léo Jardim,br BRA,GK,Vasco da Gama,29-058,1995,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
213,Jeffinho,br BRA,"FW,MF",Botafogo (RJ),24-139,1999,3.6,1,10,5,50.0,2.78,1.39,0.10,0.20,19.4,1,0,0,1.7,1.7,0.18,-0.7,-0.7,Matches
214,Jemerson,br BRA,DF,Atlético Mineiro,31-267,1992,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
215,Caíque de Jesus Gonçalves,br BRA,MF,Juventude,28-220,1995,3.8,0,2,0,0.0,0.53,0.00,0.00,,32.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
216,John,br BRA,GK,Botafogo (RJ),28-094,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
217,Felipe Jonatan,br BRA,DF,Fortaleza,26-092,1998,1.6,0,1,1,100.0,0.61,0.61,0.00,0.00,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
218,Daniel Jr,br BRA,"MF,FW",Vitória,22-008,2002,0.3,0,1,1,100.0,2.90,2.90,0.00,0.00,39.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
219,Luciano Juba,br BRA,DF,Bahia,24-262,1999,6.0,0,2,0,0.0,0.33,0.00,0.00,,29.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
220,Julimar,br BRA,"FW,MF",Ath Paranaense,23-113,2001,3.4,0,11,5,45.5,3.22,1.47,0.00,0.00,14.7,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
221,Lucas Kal,br BRA,"MF,DF",Atl Goianiense,28-062,1996,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
222,Walter Kannemann,ar ARG,DF,Grêmio,33-064,1991,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
223,Kanu,br BRA,DF,Bahia,27-071,1997,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,15.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
224,Alan Kardec,br BRA,FW,Atlético Mineiro,35-126,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
225,Renato Kayser,br BRA,FW,Criciúma,28-090,1996,0.9,1,3,1,33.3,3.18,1.06,0.33,1.00,10.2,0,0,0,0.5,0.5,0.15,+0.5,+0.5,Matches
226,Renato Kayser,br BRA,FW,Fortaleza,28-090,1996,2.5,0,7,2,28.6,2.76,0.79,0.00,0.00,15.1,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
227,John Kennedy,br BRA,FW,Fluminense,21-365,2002,1.3,0,4,2,50.0,3.03,1.51,0.00,0.00,15.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
228,Keno,br BRA,FW,Fluminense,34-250,1989,0.9,0,2,1,50.0,2.31,1.15,0.00,0.00,22.4,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
229,Kleiton,br BRA,FW,Juventude,25-024,1999,0.3,0,4,1,25.0,12.41,3.10,0.00,0.00,14.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
230,Gabriel Knesowitsch,br BRA,DF,Cuiabá,20-212,2003,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,Benjamín Kuscevic,cl CHI,DF,Fortaleza,28-015,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
232,Derik Lacerda,br BRA,"MF,FW",Cuiabá,24-233,1999,2.7,0,2,0,0.0,0.73,0.00,0.00,,9.0,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
233,Ignacio Laquintana,uy URU,"FW,MF",Red Bull Bragantino,25-106,1999,1.8,1,4,2,50.0,2.18,1.09,0.25,0.50,17.8,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
234,Lázaro,br BRA,"FW,MF",Palmeiras,22-066,2002,2.6,1,6,2,33.3,2.33,0.78,0.17,0.50,20.5,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches
235,Mauricio Lemos,uy URU,DF,Atlético Mineiro,28-141,1995,2.7,0,2,0,0.0,0.73,0.00,0.00,,22.7,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
236,Willean Lepo,br BRA,DF,Vitória,27-122,1997,0.8,0,1,0,0.0,1.22,0.00,0.00,,30.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
237,Lima,br BRA,MF,Fluminense,27-341,1996,4.6,2,6,2,33.3,1.32,0.44,0.33,1.00,23.3,1,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches
238,Lincoln,br BRA,MF,Red Bull Bragantino,25-192,1998,0.9,0,3,1,33.3,3.25,1.08,0.00,0.00,25.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
239,José López,ar ARG,"FW,DF",Palmeiras,23-163,2000,2.7,0,6,1,16.7,2.22,0.37,0.00,0.00,12.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
240,Lorran,br BRA,"MF,FW",Flamengo,17-318,2006,1.4,1,6,2,33.3,4.32,1.44,0.17,0.50,12.0,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
241,Vágner Love,br BRA,MF,Atl Goianiense,39-341,1984,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,4.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
242,Lucão,br BRA,GK,Red Bull Bragantino,23-081,2001,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
243,Ayrton Lucas,br BRA,DF,Flamengo,26-333,1997,5.7,0,6,0,0.0,1.04,0.00,0.00,,30.3,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
244,Jean Lucas,br BRA,MF,Bahia,25-330,1998,6.0,0,11,2,18.2,1.83,0.33,0.00,0.00,23.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
245,João Lucas,br BRA,DF,Juventude,26-069,1998,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
246,Luciano,br BRA,"MF,FW",São Paulo,30-365,1993,5.7,3,16,5,31.3,2.82,0.88,0.13,0.40,17.1,0,1,1,2.4,1.6,0.10,+0.6,+0.4,Matches
247,André Luis,br BRA,"MF,FW",Cuiabá,27-026,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
248,Machado,br BRA,MF,Cruzeiro,28-118,1996,0.5,0,1,0,0.0,2.00,0.00,0.00,,28.3,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
249,Imanol Machuca,ar ARG,"MF,FW",Fortaleza,24-123,2000,1.6,1,2,1,50.0,1.29,0.64,0.50,1.00,17.0,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
250,Guilherme Madruga,br BRA,MF,Cuiabá,23-188,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
251,Mádson,br BRA,DF,Ath Paranaense,32-125,1992,1.5,0,1,0,0.0,0.65,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
252,Maguinho,br BRA,"DF,FW",Atl Goianiense,31-132,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
253,Pablo Maia,br BRA,MF,São Paulo,22-128,2002,2.9,0,6,0,0.0,2.08,0.00,0.00,,27.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
254,Thiago Maia,br BRA,MF,Internacional,27-055,1997,2.7,0,4,1,25.0,1.48,0.37,0.00,0.00,10.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
255,Walisson Maia,br BRA,DF,Criciúma,32-270,1991,2.2,0,3,0,0.0,1.34,0.00,0.00,,13.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
256,Maicon,br BRA,DF,Vasco da Gama,35-246,1988,4.0,1,4,2,50.0,1.00,0.50,0.25,0.50,9.0,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
257,Hugo Mallo,es ESP,DF,Internacional,32-330,1991,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
258,Léo Mana,br BRA,DF,Corinthians,20-041,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
259,Luis Mandaca,br BRA,"MF,FW",Juventude,22-228,2001,1.1,0,3,1,33.3,2.78,0.93,0.00,0.00,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
260,Manoel,br BRA,DF,Fluminense,34-081,1990,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
261,Fernando Marçal,br BRA,DF,Botafogo (RJ),35-088,1989,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
262,Marcelinho,br BRA,"MF,FW",Juventude,21-158,2002,1.7,0,6,1,16.7,3.44,0.57,0.00,0.00,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
263,Marcelo,br BRA,DF,Fluminense,36-005,1988,4.0,0,9,1,11.1,2.25,0.25,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
264,João Marcelo,br BRA,DF,Cruzeiro,23-339,2000,4.0,0,2,0,0.0,0.50,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
265,Agustín Marchesín,ar ARG,GK,Grêmio,36-062,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
266,Zé Marcos,br BRA,DF,Juventude,26-106,1998,2.9,0,3,0,0.0,1.05,0.00,0.00,,14.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
267,Erick Marcus,br BRA,"MF,FW",Vasco da Gama,20-077,2004,0.7,0,1,0,0.0,1.43,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
268,Marinho,br BRA,"FW,DF",Fortaleza,33-354,1990,2.7,0,6,0,0.0,2.22,0.00,0.00,,23.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
269,Marlon,br BRA,DF,Cruzeiro,26-363,1997,5.0,0,1,0,0.0,0.20,0.00,0.00,,26.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
270,Marquinhos,br BRA,"DF,FW",Fluminense,21-040,2003,6.0,0,11,4,36.4,1.84,0.67,0.00,0.00,24.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
271,Juan Martín Lucero,ar ARG,FW,Fortaleza,32-169,1991,2.4,1,3,2,66.7,1.26,0.84,0.33,0.50,16.1,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
272,Martinelli,br BRA,"MF,DF",Fluminense,23-007,2001,5.5,1,4,1,25.0,0.73,0.18,0.25,1.00,11.8,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
273,Adriano Martins,br BRA,DF,Atl Goianiense,27-046,1997,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
274,Gustavo Martins Santos,br BRA,DF,Grêmio,21-280,2002,2.9,1,1,1,100.0,0.35,0.35,1.00,1.00,3.2,0,0,0,0.7,0.7,0.69,+0.3,+0.3,Matches
275,Gonzalo Mastriani,uy URU,FW,Ath Paranaense,31-019,1993,1.6,1,3,1,33.3,1.84,0.61,0.33,1.00,17.3,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
276,Fellipe Mateus,br BRA,MF,Criciúma,33-095,1991,2.9,2,5,4,80.0,1.72,1.37,0.40,0.50,22.0,2,0,0,0.2,0.2,0.05,+1.8,+1.8,Matches
277,Matheusinho,br BRA,"FW,MF",Vitória,26-212,1997,4.4,1,9,3,33.3,2.06,0.69,0.11,0.33,19.0,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
278,Matheusinho,br BRA,"FW,MF",Criciúma,26-096,1998,0.3,1,2,1,50.0,7.20,3.60,0.50,1.00,15.9,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
279,Matheuzinho,br BRA,"DF,FW",Corinthians,23-252,2000,2.2,0,5,0,0.0,2.27,0.00,0.00,,17.9,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
280,Mauricio,br BRA,MF,Internacional,22-361,2001,3.7,0,7,2,28.6,1.87,0.54,0.00,0.00,19.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
281,Max,br BRA,"MF,FW",Atl Goianiense,21-324,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
282,Max,br BRA,MF,Cuiabá,23-005,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
283,Maycon,br BRA,MF,Corinthians,26-307,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
284,Mayke,br BRA,DF,Palmeiras,31-189,1992,3.8,0,1,0,0.0,0.26,0.00,0.00,,18.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
285,Gary Medel,cl CHI,DF,Vasco da Gama,36-288,1987,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
286,Felipe Melo,br BRA,DF,Fluminense,40-326,1983,2.3,0,1,0,0.0,0.44,0.00,0.00,,14.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
287,Douglas Mendes,br BRA,DF,Red Bull Bragantino,19-339,2004,3.0,0,2,0,0.0,0.67,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
288,Nathan Mendes,br BRA,DF,Red Bull Bragantino,21-272,2002,3.0,0,5,2,40.0,1.67,0.67,0.00,0.00,17.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
289,Gabriel Menino,br BRA,MF,Palmeiras,23-231,2000,3.1,0,4,0,0.0,1.28,0.00,0.00,,27.7,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
290,Gabriel Mercado,ar ARG,DF,Internacional,37-060,1987,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,9.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
291,Higor Meritão,br BRA,MF,Criciúma,29-329,1994,2.8,1,3,1,33.3,1.06,0.35,0.33,1.00,19.1,0,0,0,0.7,0.7,0.23,+0.3,+0.3,Matches
292,Carlos Miguel,br BRA,GK,Corinthians,25-221,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
293,Lucas Mineiro,br BRA,MF,Cuiabá,28-083,1996,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
294,Moises,br BRA,FW,Fortaleza,27-258,1996,1.5,0,6,2,33.3,3.94,1.31,0.00,0.00,18.2,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
