Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
34,Lucas Barbosa,br BRA,"MF,FW",Juventude,23-085,2001,3.3,1,12,2,16.7,3.67,0.61,0.08,0.50,22.7,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
35,Alexander Barboza,ar ARG,"DF,FW",Botafogo (RJ),29-062,1995,1.4,0,3,0,0.0,2.18,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
36,Mateo Barcia,uy URU,MF,Criciúma,23-088,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Álvaro Barreal,ar ARG,"MF,FW",Cruzeiro,23-274,2000,2.2,0,5,1,20.0,2.30,0.46,0.00,0.00,20.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
38,Barreto,br BRA,MF,Criciúma,28-159,1995,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Gabriel Barros,br BRA,"FW,MF",Atl Goianiense,22-205,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Bastos,ao ANG,DF,Botafogo (RJ),33-051,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
41,Rodrigo Battaglia,ar ARG,DF,Atlético Mineiro,32-310,1991,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,José Luis Rodríguez Bebanz,uy URU,FW,Vasco da Gama,27-064,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Ramiro Benetti,br BRA,MF,Cruzeiro,30-361,1993,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Bento,br BRA,GK,Ath Paranaense,24-342,1999,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Raul Bicalho,br BRA,DF,Corinthians,25-023,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Matheus Bidu,br BRA,DF,Corinthians,25-013,1999,0.2,0,1,1,100.0,5.00,5.00,0.00,0.00,23.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
47,Biel,br BRA,"FW,MF",Bahia,23-046,2001,1.6,2,4,2,50.0,2.54,1.27,0.50,1.00,12.7,0,0,0,1.6,1.6,0.39,+0.4,+0.4,Matches
48,Guilherme Biro,br BRA,MF,Corinthians,20-027,2004,0.1,0,2,0,0.0,18.00,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
49,Damián Bobadilla,py PAR,MF,São Paulo,22-311,2001,2.1,1,6,1,16.7,2.87,0.48,0.17,1.00,23.0,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
50,Yannick Bolasie,cd COD,FW,Criciúma,34-359,1989,1.9,1,5,2,40.0,2.65,1.06,0.20,0.50,17.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
51,Thiago Borbas,uy URU,FW,Red Bull Bragantino,22-040,2002,2.2,1,6,3,50.0,2.74,1.37,0.17,0.33,15.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
52,Marllon Borges,br BRA,DF,Cuiabá,32-031,1992,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,11.4,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
53,Pedro Borges,br BRA,MF,Fortaleza,27-075,1997,2.4,0,1,1,100.0,0.41,0.41,0.00,0.00,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
54,Rafael Borré,co COL,FW,Internacional,28-245,1995,4.0,1,17,6,35.3,4.25,1.50,0.06,0.17,12.0,0,0,1,3.9,3.1,0.19,-2.9,-2.1,Matches
55,Danilo Boza,br BRA,DF,Juventude,26-011,1998,3.0,1,4,2,50.0,1.33,0.67,0.25,0.50,12.0,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
56,Breno,br BRA,FW,Fortaleza,28-114,1996,2.1,0,5,0,0.0,2.33,0.00,0.00,,17.9,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
57,Breno,br BRA,MF,Corinthians,19-087,2005,2.9,0,3,2,66.7,1.02,0.68,0.00,0.00,19.4,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
58,Emanuel Brítez,ar ARG,DF,Fortaleza,32-052,1992,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,10.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
59,Bruninho,br BRA,"FW,MF",Red Bull Bragantino,21-064,2003,0.9,0,3,0,0.0,3.42,0.00,0.00,,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
60,Fabrício Bruno,br BRA,DF,Flamengo,28-095,1996,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,12.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
61,Fabricio Bustos,ar ARG,"DF,MF",Internacional,28-019,1996,3.2,0,1,0,0.0,0.32,0.00,0.00,,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
62,Rafael Cabral,br BRA,GK,Grêmio,33-363,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Cacá,br BRA,DF,Corinthians,25-022,1999,2.8,1,4,2,50.0,1.42,0.71,0.25,0.50,16.1,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches
64,Jonathan Cafu,br BRA,"MF,FW",Cuiabá,32-312,1991,1.1,0,1,1,100.0,0.87,0.87,0.00,0.00,7.9,0,0,0,0.6,0.6,0.56,-0.6,-0.6,Matches
65,Jonathan Calleri,ar ARG,FW,São Paulo,30-237,1993,4.4,1,8,1,12.5,1.81,0.23,0.13,1.00,10.6,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
66,Patric Calmon PK,br BRA,DF,Vitória,29-317,1994,1.5,0,2,1,50.0,1.33,0.67,0.00,0.00,18.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
67,Camutanga,br BRA,DF,Vitória,30-233,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,43.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
68,Yerson Candelo,co COL,DF,Criciúma,32-083,1992,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-105,2001,6.0,0,6,0,0.0,1.00,0.00,0.00,,23.9,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
70,Germán Cano,ar ARG,"FW,MF",Fluminense,36-105,1988,4.6,2,14,8,57.1,3.07,1.76,0.14,0.25,15.0,0,0,0,2.5,2.5,0.18,-0.5,-0.5,Matches
71,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-229,1998,3.3,2,10,3,30.0,3.03,0.91,0.20,0.67,17.9,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches
72,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-316,1997,3.8,0,5,0,0.0,1.33,0.00,0.00,,20.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
73,Carlinhos,br BRA,"FW,DF",Flamengo,27-095,1997,0.7,0,2,0,0.0,3.05,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
74,Antonio Carlos,br BRA,DF,Fluminense,31-071,1993,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-092,1992,2.3,2,4,3,75.0,1.76,1.32,0.50,0.67,25.6,0,0,0,0.3,0.3,0.07,+1.7,+1.7,Matches
76,Cássio,br BRA,GK,Corinthians,36-346,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Iury de Castilho,br BRA,"FW,MF",Vitória,28-254,1995,0.8,1,3,1,33.3,3.65,1.22,0.33,1.00,8.0,0,0,0,1.2,1.2,0.39,-0.2,-0.2,Matches
78,Murilo Cerqueira,br BRA,DF,Palmeiras,27-051,1997,4.8,0,5,1,20.0,1.03,0.21,0.00,0.00,11.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
79,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-135,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Christian,br BRA,"FW,MF",Ath Paranaense,23-150,2000,1.2,0,2,1,50.0,1.68,0.84,0.00,0.00,20.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
81,Eliel Chrystian,br BRA,MF,Cuiabá,21-112,2003,0.5,0,2,0,0.0,4.00,0.00,0.00,,9.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
82,Cicinho,bg BUL,MF,Bahia,35-143,1988,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,José Cifuentes,ec ECU,MF,Cruzeiro,25-066,1999,0.8,0,2,0,0.0,2.61,0.00,0.00,,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
84,Claudinho,br BRA,DF,Criciúma,23-236,2000,2.7,0,1,1,100.0,0.37,0.37,0.00,0.00,28.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
85,Clayson,br BRA,MF,Cuiabá,29-059,1995,2.0,0,2,0,0.0,1.01,0.00,0.00,,20.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
86,Clayton,br BRA,FW,Vasco da Gama,25-127,1999,0.6,0,7,2,28.6,12.12,3.46,0.00,0.00,15.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
87,Mateus Cocão,br BRA,MF,Vasco da Gama,22-060,2002,3.2,1,6,3,50.0,1.90,0.95,0.17,0.33,17.7,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
88,Igor Coronado,br BRA,"MF,FW",Corinthians,31-273,1992,2.0,0,4,0,0.0,2.02,0.00,0.00,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
89,Diego Costa,es ESP,FW,Grêmio,35-223,1988,1.3,0,2,1,50.0,1.55,0.78,0.00,0.00,14.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
90,Douglas Costa,br BRA,FW,Fluminense,33-246,1990,1.8,0,2,2,100.0,1.10,1.10,0.00,0.00,29.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
91,Franco Cristaldo,ar ARG,MF,Grêmio,27-276,1996,3.1,2,4,2,50.0,1.30,0.65,0.50,1.00,20.6,1,0,0,0.4,0.4,0.10,+1.6,+1.6,Matches
92,Alejo Cruz,uy URU,MF,Atl Goianiense,23-259,2000,1.7,0,1,0,0.0,0.59,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
93,Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,24-073,2000,3.8,0,11,3,27.3,2.89,0.79,0.00,0.00,25.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
94,Víctor Cuesta,ar ARG,DF,Bahia,35-180,1988,2.7,0,1,1,100.0,0.38,0.38,0.00,0.00,7.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
95,Cuiabano,br BRA,DF,Grêmio,21-091,2003,1.8,0,1,0,0.0,0.55,0.00,0.00,,20.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
