Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_2,Matches
249,Hércules,br BRA,MF,Fortaleza,23-210,2000,5,354,71,78.7,3.9,4,83,2,1,21,0,1.40,3,2,+1,+0.25,+0.25,3.2,3.4,-0.2,-0.04,-0.30,Matches
250,Marcelo Hermes,br BRA,"DF,MF",Criciúma,29-106,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.67,6,2,+4,+1.33,,2.5,3.5,-1.0,-0.34,,Matches
251,Diego Hernández,uy URU,"FW,MF",Botafogo (RJ),23-330,2000,4,121,30,22.4,1.3,0,,0,4,30,1,1.75,4,2,+2,+1.49,+0.84,2.3,1.5,+0.7,+0.55,+0.49,Matches
252,Lucca Holanda,br BRA,"FW,DF",Internacional,21-045,2003,4,125,31,34.7,1.4,2,54,0,2,9,0,1.75,1,1,0,0.00,-0.38,1.7,0.9,+0.8,+0.59,-0.33,Matches
253,Hugo,br BRA,"DF,MF",Corinthians,26-262,1997,6,500,83,92.6,5.6,6,83,4,0,,0,0.83,3,5,-2,-0.36,-0.36,6.5,5.4,+1.1,+0.21,-1.21,Matches
254,Hugo,br BRA,DF,Botafogo (RJ),22-240,2001,5,360,72,66.7,4.0,4,79,3,1,45,1,1.80,9,4,+5,+1.25,+1.25,5.9,4.9,+1.0,+0.26,+0.27,Matches
255,Vitor Hugo Amorim,br BRA,MF,Cruzeiro,20-089,2004,1,25,25,5.6,0.3,0,,0,1,25,2,3.00,1,0,+1,+3.60,+3.60,0.3,0.2,+0.1,+0.35,+0.48,Matches
256,José Hugo,br BRA,DF,Vitória,24-213,1999,2,30,15,6.7,0.3,0,,0,2,15,3,0.00,1,0,+1,+3.00,+4.50,1.4,0.8,+0.6,+1.68,+2.63,Matches
257,Victor Hugo,br BRA,FW,Flamengo,20-006,2004,3,21,7,3.9,0.2,0,,0,3,7,3,3.00,1,1,0,0.00,-0.35,1.0,0.5,+0.5,+2.09,+1.99,Matches
258,Hulk,br BRA,FW,Atlético Mineiro,37-297,1986,4,330,83,73.3,3.7,4,83,1,0,,0,1.50,4,2,+2,+0.55,-2.45,2.4,3.3,-0.8,-0.23,-2.47,Matches
259,José Hurtado,ec ECU,DF,Red Bull Bragantino,22-146,2001,3,270,90,50.0,3.0,3,90,3,0,,0,2.33,5,3,+2,+0.67,+1.00,2.6,4.1,-1.6,-0.53,+0.35,Matches
260,Igor,br BRA,MF,Flamengo,21-071,2003,2,47,24,8.7,0.5,1,36,0,1,11,4,2.00,0,1,-1,-1.91,-2.46,0.6,0.7,-0.1,-0.27,-0.49,Matches
261,Gabriel Inocêncio,br BRA,DF,Juventude,29-271,1994,3,270,90,75.0,3.0,3,90,3,0,,1,1.33,4,6,-2,-0.67,-0.67,2.4,4.6,-2.1,-0.71,-0.63,Matches
262,Isaac,br BRA,FW,Atlético Mineiro,20-052,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
263,Isaac,br BRA,DF,Fluminense,20-023,2004,1,12,12,2.2,0.1,0,,0,1,12,4,0.00,0,0,0,0.00,+0.68,0.1,0.1,0.0,-0.19,+0.17,Matches
264,Zé Ivaldo,br BRA,"DF,MF",Cruzeiro,27-086,1997,4,315,79,70.0,3.5,3,90,3,1,45,1,2.25,7,3,+4,+1.14,+3.14,3.8,3.9,0.0,-0.01,+0.32,Matches
265,Jader,br BRA,FW,Ath Paranaense,20-298,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
266,Jadsom,br BRA,MF,Red Bull Bragantino,22-363,2001,6,371,62,68.7,4.1,4,77,2,2,33,0,1.50,5,6,-1,-0.24,-1.31,2.7,6.5,-3.8,-0.92,-0.71,Matches
267,Jadson,br BRA,MF,Juventude,30-261,1993,3,269,90,74.7,3.0,3,90,2,0,,0,1.67,4,2,+2,+0.67,+4.63,3.3,2.9,+0.4,+0.12,+2.69,Matches
268,Janderson,br BRA,"FW,DF",Vitória,25-011,1999,3,175,58,38.9,1.9,2,73,0,1,29,0,0.00,1,5,-4,-2.06,-1.40,1.0,3.5,-2.5,-1.28,-0.82,Matches
269,Janderson,br BRA,FW,Botafogo (RJ),25-011,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
270,Jandrei,br BRA,GK,São Paulo,31-077,1993,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
271,Léo Jardim,br BRA,GK,Vasco da Gama,29-058,1995,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,6,11,-5,-0.83,,8.0,8.9,-0.9,-0.15,,Matches
272,Jeffinho,br BRA,"FW,MF",Botafogo (RJ),24-139,1999,6,324,54,60.0,3.6,5,59,0,1,31,0,1.67,7,3,+4,+1.11,+0.69,6.0,3.4,+2.5,+0.71,+1.35,Matches
273,Jemerson,br BRA,DF,Atlético Mineiro,31-267,1992,3,203,68,45.1,2.3,3,68,1,0,,1,1.67,3,1,+2,+0.89,-0.57,1.7,2.0,-0.3,-0.15,-1.06,Matches
274,Caíque de Jesus Gonçalves,br BRA,MF,Juventude,28-220,1995,4,342,86,95.0,3.8,4,86,3,0,,0,1.25,5,7,-2,-0.53,-0.53,3.5,5.7,-2.2,-0.57,-0.30,Matches
275,Jhosefer,br BRA,FW,Cruzeiro,20-069,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
276,John,br BRA,GK,Botafogo (RJ),28-094,1996,3,270,90,50.0,3.0,3,90,3,0,,3,1.33,4,3,+1,+0.33,-1.00,2.4,4.2,-1.8,-0.59,-1.52,Matches
277,Felipe Jonatan,br BRA,DF,Fortaleza,26-092,1998,2,148,74,32.9,1.6,2,74,1,0,,1,1.00,2,2,0,0.00,-0.30,1.5,1.0,+0.5,+0.33,+0.45,Matches
278,Jhonatan Jowjow,br BRA,MF,Palmeiras,21-251,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
279,Daniel Jr,br BRA,"MF,FW",Vitória,22-008,2002,2,31,16,6.9,0.3,0,,0,2,16,2,0.00,0,1,-1,-2.90,-1.83,0.2,0.9,-0.7,-2.04,-1.36,Matches
280,Luciano Juba,br BRA,DF,Bahia,24-262,1999,6,540,90,100.0,6.0,6,90,6,0,,0,2.17,9,6,+3,+0.50,,8.9,5.3,+3.6,+0.60,,Matches
281,Julimar,br BRA,"FW,MF",Ath Paranaense,23-113,2001,6,307,51,56.9,3.4,3,54,0,3,48,0,2.17,5,1,+4,+1.17,+0.40,5.2,3.4,+1.8,+0.52,+0.86,Matches
282,Justen,br BRA,DF,Fluminense,20-319,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
283,Kaiki,br BRA,DF,Cruzeiro,21-070,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
284,Lucas Kal,br BRA,"MF,DF",Atl Goianiense,28-062,1996,2,119,60,26.4,1.3,1,82,0,1,37,3,0.00,0,2,-2,-1.51,-0.42,1.4,1.0,+0.4,+0.27,+0.74,Matches
285,Walter Kannemann,ar ARG,DF,Grêmio,33-064,1991,2,103,52,28.6,1.1,2,52,1,0,,0,1.00,1,1,0,0.00,-0.35,0.1,1.4,-1.3,-1.16,-1.46,Matches
286,Kanu,br BRA,DF,Bahia,27-071,1997,4,360,90,66.7,4.0,4,90,4,0,,2,2.25,5,3,+2,+0.50,0.00,5.4,3.3,+2.1,+0.52,-0.25,Matches
287,Alan Kardec,br BRA,FW,Atlético Mineiro,35-126,1989,1,12,12,2.7,0.1,0,,0,1,12,4,3.00,0,0,0,0.00,-1.23,0.0,0.2,-0.2,-1.58,-2.07,Matches
288,Kauan,br BRA,MF,Fortaleza,19-031,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
289,Kauê,br BRA,MF,Botafogo (RJ),19-208,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
290,Renato Kayser,br BRA,FW,Criciúma,28-090,1996,1,85,85,31.5,0.9,1,85,0,0,,0,1.00,1,1,0,0.00,-1.95,0.7,0.6,+0.1,+0.09,+0.63,Matches
291,Renato Kayser,br BRA,FW,Fortaleza,28-090,1996,4,228,57,50.7,2.5,3,72,1,1,11,0,1.00,2,3,-1,-0.39,-1.21,3.0,2.0,+1.0,+0.38,+0.72,Matches
292,Keiller,br BRA,GK,Vasco da Gama,27-201,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
293,John Kennedy,br BRA,FW,Fluminense,21-365,2002,4,119,30,22.0,1.3,0,,0,4,30,0,1.00,1,2,-1,-0.76,-0.11,1.2,1.5,-0.3,-0.19,+0.21,Matches
294,Keno,br BRA,FW,Fluminense,34-250,1989,1,78,78,14.4,0.9,1,78,0,0,,0,0.00,1,1,0,0.00,+0.78,0.4,1.3,-0.9,-1.04,-0.79,Matches
295,Kleiton,br BRA,FW,Juventude,25-024,1999,1,29,29,8.1,0.3,0,,0,1,29,3,1.00,0,1,-1,-3.10,-2.83,0.9,0.5,+0.5,+1.40,+2.13,Matches
296,Gabriel Knesowitsch,br BRA,DF,Cuiabá,20-212,2003,2,160,80,44.4,1.8,1,90,1,1,70,2,0.00,0,3,-3,-1.69,+1.46,1.0,2.4,-1.4,-0.81,+0.44,Matches
297,Maurício Kozlinski,br BRA,GK,Fortaleza,32-334,1991,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
298,Benjamín Kuscevic,cl CHI,DF,Fortaleza,28-015,1996,2,180,90,40.0,2.0,2,90,2,0,,0,2.00,3,2,+1,+0.50,+0.50,1.0,1.1,-0.1,-0.06,-0.14,Matches
299,Derik Lacerda,br BRA,"MF,FW",Cuiabá,24-233,1999,4,245,61,68.1,2.7,3,74,0,1,24,0,0.00,0,8,-8,-2.94,-1.37,0.8,5.2,-4.5,-1.64,-1.83,Matches
300,Ignacio Laquintana,uy URU,"FW,MF",Red Bull Bragantino,25-106,1999,4,165,41,30.6,1.8,2,68,1,2,15,2,2.00,2,2,0,0.00,-0.24,1.4,2.6,-1.2,-0.65,+0.07,Matches
301,Lázaro,br BRA,"FW,MF",Palmeiras,22-066,2002,6,232,39,43.0,2.6,2,60,0,4,28,0,1.33,1,2,-1,-0.39,-0.68,3.2,2.1,+1.1,+0.43,+0.12,Matches
302,Mauricio Lemos,uy URU,DF,Atlético Mineiro,28-141,1995,4,247,62,54.9,2.7,3,75,2,1,22,1,2.00,2,1,+1,+0.36,-1.85,2.1,1.3,+0.9,+0.31,-0.26,Matches
303,Willean Lepo,br BRA,DF,Vitória,27-122,1997,3,74,25,16.4,0.8,2,29,0,1,17,1,0.33,0,0,0,0.00,+1.44,0.4,0.6,-0.2,-0.30,+0.57,Matches
304,Lima,br BRA,MF,Fluminense,27-341,1996,6,410,68,75.9,4.6,5,79,3,1,17,0,0.83,6,8,-2,-0.44,+0.95,4.9,6.2,-1.3,-0.28,+0.33,Matches
305,Leonardo Linck,br BRA,GK,Ath Paranaense,23-075,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
306,Lincoln,br BRA,MF,Red Bull Bragantino,25-192,1998,3,83,28,15.4,0.9,0,,0,3,28,0,0.67,0,1,-1,-1.08,-1.48,0.4,1.8,-1.4,-1.54,-0.99,Matches
