Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
181,Zé Guilherme,br BRA,DF,Grêmio,19-062,2005,0.9,5,3,4,1,0,2,7,28.6,5,1,0,1,4,9,2,0,Matches
182,Gustavinho,br BRA,MF,Red Bull Bragantino,20-024,2004,4.3,10,2,3,3,4,5,14,35.7,9,4,0,4,1,11,5,0,Matches
183,Gustavo,br BRA,GK,Criciúma,31-068,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
184,Lucas Halter,br BRA,DF,Botafogo (RJ),24-015,2000,4.8,3,3,2,1,0,3,4,75.0,1,2,2,0,2,5,28,1,Matches
185,Thiago Heleno,br BRA,DF,Ath Paranaense,35-243,1988,3.0,1,1,1,0,0,0,0,,0,6,4,2,4,5,7,0,Matches
186,Helinho,br BRA,FW,Red Bull Bragantino,24-022,2000,1.2,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,1,0,Matches
187,Bruno Henrique,br BRA,FW,Flamengo,33-139,1990,4.3,4,1,2,2,0,0,2,0.0,2,5,0,5,6,10,4,0,Matches
188,Bruno Henrique,br BRA,MF,Internacional,34-209,1989,2.6,8,5,2,5,1,5,9,55.6,4,4,1,3,1,9,2,0,Matches
189,Gustavo Henrique,br BRA,DF,Corinthians,31-054,1993,2.8,1,1,1,0,0,1,1,100.0,0,5,3,2,4,5,10,0,Matches
190,Luiz Henrique,br BRA,"MF,FW",Botafogo (RJ),23-136,2001,3.6,2,1,1,0,1,2,5,40.0,3,3,1,2,3,5,3,0,Matches
191,Paulo Henrique,br BRA,DF,Vasco da Gama,27-297,1996,5.0,15,9,7,6,2,11,17,64.7,6,8,2,6,9,24,13,0,Matches
192,Pedro Henrique,br BRA,FW,Corinthians,33-336,1990,0.8,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,2,0,Matches
193,Pedro Henrique,br BRA,DF,Red Bull Bragantino,28-228,1995,3.0,6,5,5,1,0,1,2,50.0,1,5,4,1,1,7,10,0,Matches
194,Hércules,br BRA,MF,Fortaleza,23-210,2000,3.9,8,7,4,4,0,2,12,16.7,10,6,2,4,1,9,5,0,Matches
195,Marcelo Hermes,br BRA,"DF,MF",Criciúma,29-106,1995,3.0,2,1,1,0,1,1,5,20.0,4,2,0,2,3,5,4,0,Matches
196,Diego Hernández,uy URU,"FW,MF",Botafogo (RJ),23-330,2000,1.3,1,1,0,1,0,0,2,0.0,2,3,0,3,1,2,0,0,Matches
197,Lucca Holanda,br BRA,"FW,DF",Internacional,21-045,2003,1.4,2,2,0,0,2,2,4,50.0,2,0,0,0,0,2,0,0,Matches
198,Hugo,br BRA,"DF,MF",Corinthians,26-262,1997,5.6,11,5,5,5,1,6,10,60.0,4,4,2,2,4,15,21,0,Matches
199,Hugo,br BRA,DF,Botafogo (RJ),22-240,2001,4.0,9,5,8,0,1,5,10,50.0,5,2,1,1,1,10,10,0,Matches
200,Vitor Hugo Amorim,br BRA,MF,Cruzeiro,20-089,2004,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
201,José Hugo,br BRA,DF,Vitória,24-213,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
202,Victor Hugo,br BRA,FW,Flamengo,20-006,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
203,Hulk,br BRA,FW,Atlético Mineiro,37-297,1986,3.7,5,1,0,3,2,4,4,100.0,0,1,0,1,0,5,2,0,Matches
204,José Hurtado,ec ECU,DF,Red Bull Bragantino,22-146,2001,3.0,5,3,3,1,1,3,5,60.0,2,1,0,1,3,8,11,0,Matches
205,Igor,br BRA,MF,Flamengo,21-071,2003,0.5,3,2,1,1,1,1,1,100.0,0,2,1,1,1,4,0,0,Matches
206,Gabriel Inocêncio,br BRA,DF,Juventude,29-271,1994,3.0,10,5,5,4,1,3,8,37.5,5,1,0,1,0,10,12,0,Matches
207,Isaac,br BRA,DF,Fluminense,20-023,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
208,Zé Ivaldo,br BRA,"DF,MF",Cruzeiro,27-086,1997,3.5,2,2,2,0,0,1,2,50.0,1,4,0,4,3,5,10,0,Matches
209,Jadsom,br BRA,MF,Red Bull Bragantino,22-363,2001,4.1,15,8,8,5,2,6,14,42.9,8,1,0,1,4,19,8,0,Matches
210,Jadson,br BRA,MF,Juventude,30-261,1993,3.0,7,3,4,3,0,3,5,60.0,2,3,0,3,5,12,0,0,Matches
211,Janderson,br BRA,"FW,DF",Vitória,25-011,1999,1.9,4,2,3,1,0,0,0,,0,2,0,2,0,4,3,0,Matches
212,Léo Jardim,br BRA,GK,Vasco da Gama,29-058,1995,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
213,Jeffinho,br BRA,"FW,MF",Botafogo (RJ),24-139,1999,3.6,6,2,1,5,0,4,9,44.4,5,1,0,1,2,8,0,0,Matches
214,Jemerson,br BRA,DF,Atlético Mineiro,31-267,1992,2.3,2,1,1,1,0,2,2,100.0,0,4,3,1,5,7,4,0,Matches
215,Caíque de Jesus Gonçalves,br BRA,MF,Juventude,28-220,1995,3.8,11,7,6,5,0,3,6,50.0,3,3,0,3,4,15,7,0,Matches
216,John,br BRA,GK,Botafogo (RJ),28-094,1996,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
217,Felipe Jonatan,br BRA,DF,Fortaleza,26-092,1998,1.6,4,3,1,3,0,1,3,33.3,2,2,1,1,4,8,3,0,Matches
218,Daniel Jr,br BRA,"MF,FW",Vitória,22-008,2002,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
219,Luciano Juba,br BRA,DF,Bahia,24-262,1999,6.0,7,6,3,3,1,4,10,40.0,6,7,2,5,13,20,14,0,Matches
220,Julimar,br BRA,"FW,MF",Ath Paranaense,23-113,2001,3.4,6,4,2,4,0,2,4,50.0,2,4,1,3,2,8,4,0,Matches
221,Lucas Kal,br BRA,"MF,DF",Atl Goianiense,28-062,1996,1.3,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,2,0,Matches
222,Walter Kannemann,ar ARG,DF,Grêmio,33-064,1991,1.1,3,2,2,1,0,3,5,60.0,2,2,0,2,3,6,1,0,Matches
223,Kanu,br BRA,DF,Bahia,27-071,1997,4.0,4,1,2,2,0,1,2,50.0,1,7,0,7,3,7,18,0,Matches
224,Alan Kardec,br BRA,FW,Atlético Mineiro,35-126,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
225,Renato Kayser,br BRA,FW,Criciúma,28-090,1996,0.9,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
226,Renato Kayser,br BRA,FW,Fortaleza,28-090,1996,2.5,3,2,0,1,2,1,2,50.0,1,1,0,1,0,3,3,0,Matches
227,John Kennedy,br BRA,FW,Fluminense,21-365,2002,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
228,Keno,br BRA,FW,Fluminense,34-250,1989,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
229,Kleiton,br BRA,FW,Juventude,25-024,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
230,Gabriel Knesowitsch,br BRA,DF,Cuiabá,20-212,2003,1.8,5,5,4,1,0,3,4,75.0,1,0,0,0,3,8,3,0,Matches
231,Benjamín Kuscevic,cl CHI,DF,Fortaleza,28-015,1996,2.0,5,3,3,2,0,1,1,100.0,0,2,2,0,1,6,10,0,Matches
232,Derik Lacerda,br BRA,"MF,FW",Cuiabá,24-233,1999,2.7,1,1,1,0,0,0,2,0.0,2,4,1,3,1,2,2,0,Matches
233,Ignacio Laquintana,uy URU,"FW,MF",Red Bull Bragantino,25-106,1999,1.8,2,1,1,1,0,0,3,0.0,3,1,0,1,2,4,1,0,Matches
234,Lázaro,br BRA,"FW,MF",Palmeiras,22-066,2002,2.6,0,0,0,0,0,0,1,0.0,1,5,0,5,0,0,1,0,Matches
235,Mauricio Lemos,uy URU,DF,Atlético Mineiro,28-141,1995,2.7,3,2,1,2,0,1,3,33.3,2,4,2,2,1,4,9,0,Matches
236,Willean Lepo,br BRA,DF,Vitória,27-122,1997,0.8,5,2,4,0,1,4,5,80.0,1,0,0,0,1,6,3,0,Matches
237,Lima,br BRA,MF,Fluminense,27-341,1996,4.6,8,2,1,5,2,3,6,50.0,3,3,0,3,6,14,2,0,Matches
238,Lincoln,br BRA,MF,Red Bull Bragantino,25-192,1998,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
239,José López,ar ARG,"FW,DF",Palmeiras,23-163,2000,2.7,1,0,0,1,0,1,4,25.0,3,5,1,4,1,2,1,0,Matches
240,Lorran,br BRA,"MF,FW",Flamengo,17-318,2006,1.4,3,2,1,2,0,0,1,0.0,1,0,0,0,1,4,0,0,Matches
241,Vágner Love,br BRA,MF,Atl Goianiense,39-341,1984,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
242,Lucão,br BRA,GK,Red Bull Bragantino,23-081,2001,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
243,Ayrton Lucas,br BRA,DF,Flamengo,26-333,1997,5.7,11,9,7,3,1,4,9,44.4,5,4,1,3,4,15,13,0,Matches
244,Jean Lucas,br BRA,MF,Bahia,25-330,1998,6.0,9,5,3,5,1,3,7,42.9,4,5,1,4,6,15,4,0,Matches
245,João Lucas,br BRA,DF,Juventude,26-069,1998,4.0,14,8,5,8,1,6,10,60.0,4,9,4,5,4,18,8,0,Matches
246,Luciano,br BRA,"MF,FW",São Paulo,30-365,1993,5.7,8,6,3,3,2,2,5,40.0,3,10,0,10,1,9,3,0,Matches
247,André Luis,br BRA,"MF,FW",Cuiabá,27-026,1997,1.0,2,1,2,0,0,1,3,33.3,2,2,0,2,0,2,0,0,Matches
248,Machado,br BRA,MF,Cruzeiro,28-118,1996,0.5,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0,Matches
249,Imanol Machuca,ar ARG,"MF,FW",Fortaleza,24-123,2000,1.6,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
250,Guilherme Madruga,br BRA,MF,Cuiabá,23-188,2000,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
251,Mádson,br BRA,DF,Ath Paranaense,32-125,1992,1.5,3,1,1,1,1,0,0,,0,3,2,1,0,3,10,0,Matches
252,Maguinho,br BRA,"DF,FW",Atl Goianiense,31-132,1993,2.0,4,2,2,1,1,1,1,100.0,0,5,3,2,0,4,3,0,Matches
253,Pablo Maia,br BRA,MF,São Paulo,22-128,2002,2.9,7,2,3,3,1,1,3,33.3,2,4,2,2,0,7,0,0,Matches
254,Thiago Maia,br BRA,MF,Internacional,27-055,1997,2.7,7,7,1,6,0,4,6,66.7,2,2,1,1,1,8,9,0,Matches
255,Walisson Maia,br BRA,DF,Criciúma,32-270,1991,2.2,1,1,1,0,0,0,1,0.0,1,3,3,0,1,2,11,1,Matches
256,Maicon,br BRA,DF,Vasco da Gama,35-246,1988,4.0,5,0,5,0,0,4,5,80.0,1,5,4,1,9,14,10,0,Matches
257,Hugo Mallo,es ESP,DF,Internacional,32-330,1991,0.8,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
258,Léo Mana,br BRA,DF,Corinthians,20-041,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
259,Luis Mandaca,br BRA,"MF,FW",Juventude,22-228,2001,1.1,6,3,2,3,1,2,2,100.0,0,2,0,2,2,8,0,0,Matches
260,Manoel,br BRA,DF,Fluminense,34-081,1990,4.2,4,3,3,0,1,1,5,20.0,4,6,6,0,2,6,15,0,Matches
261,Fernando Marçal,br BRA,DF,Botafogo (RJ),35-088,1989,0.5,1,0,0,1,0,0,1,0.0,1,2,0,2,0,1,5,0,Matches
262,Marcelinho,br BRA,"MF,FW",Juventude,21-158,2002,1.7,1,1,0,1,0,0,2,0.0,2,0,0,0,2,3,0,0,Matches
263,Marcelo,br BRA,DF,Fluminense,36-005,1988,4.0,7,6,2,4,1,6,17,35.3,11,7,1,6,5,12,4,0,Matches
264,João Marcelo,br BRA,DF,Cruzeiro,23-339,2000,4.0,5,2,3,2,0,2,2,100.0,0,9,5,4,6,11,23,0,Matches
265,Agustín Marchesín,ar ARG,GK,Grêmio,36-062,1988,3.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
266,Zé Marcos,br BRA,DF,Juventude,26-106,1998,2.9,2,0,0,2,0,2,3,66.7,1,4,2,2,6,8,14,0,Matches
267,Erick Marcus,br BRA,"MF,FW",Vasco da Gama,20-077,2004,0.7,1,1,0,1,0,0,0,,0,3,0,3,0,1,0,0,Matches
268,Marinho,br BRA,"FW,DF",Fortaleza,33-354,1990,2.7,3,2,3,0,0,1,3,33.3,2,4,0,4,1,4,1,0,Matches
269,Marlon,br BRA,DF,Cruzeiro,26-363,1997,5.0,13,8,5,7,1,5,7,71.4,2,6,1,5,3,16,10,0,Matches
270,Marquinhos,br BRA,"DF,FW",Fluminense,21-040,2003,6.0,6,2,2,3,1,4,8,50.0,4,10,0,10,4,10,6,0,Matches
271,Juan Martín Lucero,ar ARG,FW,Fortaleza,32-169,1991,2.4,1,1,0,1,0,1,4,25.0,3,1,0,1,0,1,2,0,Matches
272,Martinelli,br BRA,"MF,DF",Fluminense,23-007,2001,5.5,9,6,3,4,2,5,8,62.5,3,8,4,4,1,10,10,0,Matches
273,Adriano Martins,br BRA,DF,Atl Goianiense,27-046,1997,2.8,2,2,1,1,0,2,3,66.7,1,5,5,0,2,4,13,0,Matches
274,Gustavo Martins Santos,br BRA,DF,Grêmio,21-280,2002,2.9,1,0,0,1,0,1,2,50.0,1,3,0,3,1,2,12,0,Matches
275,Gonzalo Mastriani,uy URU,FW,Ath Paranaense,31-019,1993,1.6,4,4,2,1,1,2,3,66.7,1,2,1,1,0,4,4,0,Matches
276,Fellipe Mateus,br BRA,MF,Criciúma,33-095,1991,2.9,0,0,0,0,0,0,7,0.0,7,6,2,4,1,1,2,0,Matches
277,Matheusinho,br BRA,"FW,MF",Vitória,26-212,1997,4.4,6,5,4,1,1,2,5,40.0,3,1,0,1,5,11,1,0,Matches
278,Matheusinho,br BRA,"FW,MF",Criciúma,26-096,1998,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
279,Matheuzinho,br BRA,"DF,FW",Corinthians,23-252,2000,2.2,7,5,4,3,0,5,11,45.5,6,3,1,2,1,8,7,0,Matches
280,Mauricio,br BRA,MF,Internacional,22-361,2001,3.7,5,4,0,5,0,1,3,33.3,2,2,0,2,1,6,1,0,Matches
281,Max,br BRA,"MF,FW",Atl Goianiense,21-324,2002,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
282,Max,br BRA,MF,Cuiabá,23-005,2001,0.2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
283,Maycon,br BRA,MF,Corinthians,26-307,1997,0.5,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
284,Mayke,br BRA,DF,Palmeiras,31-189,1992,3.8,9,4,2,7,0,4,7,57.1,3,3,0,3,12,21,5,0,Matches
285,Gary Medel,cl CHI,DF,Vasco da Gama,36-288,1987,1.2,1,0,1,0,0,0,0,,0,1,1,0,0,1,3,0,Matches
286,Felipe Melo,br BRA,DF,Fluminense,40-326,1983,2.3,5,3,4,1,0,3,6,50.0,3,5,3,2,2,7,14,0,Matches
287,Douglas Mendes,br BRA,DF,Red Bull Bragantino,19-339,2004,3.0,2,1,2,0,0,1,1,100.0,0,6,3,3,1,3,19,0,Matches
288,Nathan Mendes,br BRA,DF,Red Bull Bragantino,21-272,2002,3.0,3,1,2,0,1,2,5,40.0,3,2,2,0,1,4,6,0,Matches
289,Gabriel Menino,br BRA,MF,Palmeiras,23-231,2000,3.1,8,6,5,3,0,5,11,45.5,6,6,2,4,1,9,3,0,Matches
290,Gabriel Mercado,ar ARG,DF,Internacional,37-060,1987,2.5,4,1,2,1,1,2,3,66.7,1,2,2,0,2,6,6,0,Matches
291,Higor Meritão,br BRA,MF,Criciúma,29-329,1994,2.8,6,4,3,3,0,2,7,28.6,5,8,4,4,3,9,8,0,Matches
292,Carlos Miguel,br BRA,GK,Corinthians,25-221,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
293,Lucas Mineiro,br BRA,MF,Cuiabá,28-083,1996,1.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,1,Matches
294,Moises,br BRA,FW,Fortaleza,27-258,1996,1.5,2,1,0,2,0,0,3,0.0,3,1,0,1,1,3,5,0,Matches
295,Jacob Montes,ni NCA,"FW,MF",Botafogo (RJ),25-210,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
296,Aníbal Moreno,ar ARG,MF,Palmeiras,25-004,1999,3.9,6,3,3,3,0,3,7,42.9,4,3,0,3,9,15,2,0,Matches
297,Henry Mosquera,co COL,"FW,MF",Red Bull Bragantino,22-184,2001,4.3,2,1,1,1,0,1,3,33.3,2,3,0,3,2,4,2,0,Matches
298,Gustavo Mosquito,br BRA,FW,Corinthians,26-253,1997,1.8,3,3,1,1,1,0,4,0.0,4,0,0,0,2,5,1,0,Matches
299,Jean Mota,br BRA,MF,Vitória,30-215,1993,0.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
300,Hugo Moura,br BRA,MF,Vasco da Gama,26-135,1998,1.4,7,6,5,2,0,4,7,57.1,3,2,0,2,4,11,2,0,Matches
301,Léo Naldi,br BRA,MF,Vitória,22-273,2001,0.8,4,3,2,1,1,0,0,,0,1,0,1,0,4,1,0,Matches
302,Matheus Nascimento,br BRA,FW,Botafogo (RJ),20-075,2004,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
303,Nata,br BRA,"MF,DF",Grêmio,22-347,2001,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
304,Kaiky Naves,br BRA,FW,Palmeiras,22-009,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
305,Nenê,br BRA,"MF,FW",Juventude,42-303,1981,3.0,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0,Matches
306,Neris,br BRA,DF,Cruzeiro,31-335,1992,2.6,4,2,2,1,1,1,1,100.0,0,1,1,0,2,6,9,0,Matches
307,Rodrigo Nestor,br BRA,"MF,FW",São Paulo,23-282,2000,1.8,3,2,2,1,0,2,3,66.7,1,1,1,0,1,4,1,0,Matches
308,José Vitor Silva Neves,br BRA,"FW,MF",Ath Paranaense,24-015,2000,1.0,1,1,0,1,0,1,2,50.0,1,2,0,2,0,1,0,0,Matches
309,Newton,br BRA,MF,Criciúma,24-066,2000,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,Matches
310,Nikão,br BRA,"FW,MF",Ath Paranaense,31-293,1992,1.3,5,4,1,1,3,3,4,75.0,1,0,0,0,1,6,2,0,Matches
311,Gustavo Nunes,br BRA,FW,Grêmio,18-179,2005,2.3,3,1,1,0,2,1,1,100.0,0,6,0,6,1,4,1,0,Matches
312,Cauly Oliveira Souza,br BRA,"MF,FW",Bahia,28-245,1995,5.1,4,1,0,2,2,0,3,0.0,3,1,0,1,0,4,3,0,Matches
313,Leo Ortiz,br BRA,DF,Flamengo,28-135,1996,1.0,2,0,2,0,0,2,2,100.0,0,2,2,0,0,2,5,0,Matches
314,Osvaldo,br BRA,"MF,FW",Vitória,37-036,1987,2.7,2,2,0,2,0,2,2,100.0,0,1,0,1,2,4,0,0,Matches
315,Otávio,br BRA,MF,Atlético Mineiro,30-013,1994,5.0,19,11,8,9,2,6,9,66.7,3,5,2,3,9,28,7,0,Matches
316,Pablo,br BRA,"FW,MF",Ath Paranaense,31-329,1992,4.2,4,4,0,4,0,1,2,50.0,1,2,1,1,1,5,2,0,Matches
317,Pablo,br BRA,DF,Botafogo (RJ),32-331,1991,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
318,Bruno Pacheco,br BRA,DF,Fortaleza,32-161,1991,3.4,7,4,7,0,0,5,8,62.5,3,2,0,2,4,11,11,1,Matches
319,Patryck,br BRA,DF,São Paulo,21-120,2003,1.0,1,1,1,0,0,1,4,25.0,3,0,0,0,3,4,4,0,Matches
320,Patrick de Paula,br BRA,MF,Botafogo (RJ),24-252,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
321,Paulinho,br BRA,FW,Atlético Mineiro,23-307,2000,4.5,7,1,1,2,4,1,4,25.0,3,4,0,4,1,8,0,0,Matches
322,Paulinho,br BRA,MF,Corinthians,35-297,1988,1.3,6,5,2,3,1,3,5,60.0,2,2,1,1,0,6,3,0,Matches
323,Cristian Pavón,ar ARG,FW,Grêmio,28-117,1996,1.2,2,1,2,0,0,0,2,0.0,2,3,0,3,0,2,0,0,Matches
324,Dimitri Payet,fr FRA,MF,Vasco da Gama,37-049,1987,1.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
325,Pedrão,br BRA,DF,Atl Goianiense,31-151,1992,1.2,2,0,1,1,0,0,1,0.0,1,3,1,2,0,2,3,0,Matches
326,Pedrinho,br BRA,MF,Atlético Mineiro,26-034,1998,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
327,Pedro,br BRA,FW,Flamengo,26-332,1997,5.0,4,2,0,2,2,0,1,0.0,1,4,1,3,2,6,9,0,Matches
328,João Pedro,br BRA,FW,Cruzeiro,21-105,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
329,João Pedro,br BRA,MF,Vasco da Gama,19-028,2005,0.2,3,2,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,Matches
330,João Pedro,it ITA,FW,Grêmio,32-069,1992,2.3,1,0,0,0,1,0,0,,0,1,0,1,1,2,1,0,Matches
331,João Pedro,br BRA,DF,Grêmio,27-184,1996,3.0,3,0,1,1,1,0,3,0.0,3,2,0,2,0,3,6,0,Matches
332,Léo Pelé,br BRA,DF,Vasco da Gama,28-072,1996,6.0,9,3,6,3,0,2,7,28.6,5,4,1,3,1,10,32,0,Matches
333,Carlos de Pena,uy URU,"MF,FW",Bahia,32-067,1992,0.8,2,2,0,1,1,1,3,33.3,2,1,0,1,2,4,2,0,Matches
334,Léo Pereira,br BRA,DF,Flamengo,28-107,1996,5.8,7,6,6,1,0,6,8,75.0,2,7,6,1,4,11,24,0,Matches
335,Matheus Pereira,pt POR,FW,Cruzeiro,28-012,1996,4.9,2,2,2,0,0,1,1,100.0,0,1,0,1,2,4,2,0,Matches
336,Yago Pikachu,br BRA,"DF,FW",Fortaleza,31-347,1992,2.6,1,1,0,1,0,0,2,0.0,2,0,0,0,2,3,1,0,Matches
337,Joaquín Piquerez,uy URU,DF,Palmeiras,25-267,1998,4.8,8,5,5,1,2,6,10,60.0,4,4,0,4,7,15,11,0,Matches
338,Rafael Pires,br BRA,GK,São Paulo,34-329,1989,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
339,Lucas Piton,br BRA,DF,Vasco da Gama,23-221,2000,6.0,13,8,7,6,0,7,14,50.0,7,6,1,5,13,26,11,0,Matches
340,Isidro Pitta,py PAR,FW,Cuiabá,24-277,1999,2.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,Matches
341,Tomas Pochettino,ar ARG,MF,Fortaleza,28-106,1996,3.6,4,1,1,3,0,2,6,33.3,4,6,0,6,1,5,4,0,Matches
342,Mateo Ponte,uy URU,DF,Botafogo (RJ),20-359,2003,3.3,8,6,3,5,0,3,7,42.9,4,4,3,1,5,13,5,0,Matches
343,Werik Popó,br BRA,FW,Juventude,22-213,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
344,Gustavo Prado,br BRA,"FW,MF",Internacional,18-346,2005,1.2,4,2,2,1,1,1,3,33.3,2,3,0,3,0,4,3,0,Matches
345,Bruno Praxedes,br BRA,MF,Vasco da Gama,22-099,2002,0.3,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,1,0,Matches
346,Erick Pulgar,cl CHI,MF,Flamengo,30-123,1994,3.5,7,4,3,4,0,3,10,30.0,7,1,0,1,4,11,5,0,Matches
347,Du Queiroz,br BRA,MF,Grêmio,24-119,2000,2.5,2,1,0,2,0,1,4,25.0,3,5,0,5,5,7,1,0,Matches
348,Igor Rabello,br BRA,DF,Atlético Mineiro,29-019,1995,2.1,6,3,1,5,0,4,4,100.0,0,2,1,1,2,8,14,0,Matches
349,Zé Rafael,br BRA,MF,Palmeiras,30-336,1993,1.0,4,2,0,4,0,2,3,66.7,1,2,1,1,1,5,0,0,Matches
350,Railan,br BRA,DF,Cuiabá,24-068,2000,1.0,2,1,1,0,1,0,2,0.0,2,0,0,0,1,3,3,0,Matches
351,Eric Ramires,br BRA,"MF,FW",Red Bull Bragantino,23-281,2000,3.5,12,7,6,4,2,8,10,80.0,2,3,1,2,1,13,3,0,Matches
352,Ramon,br BRA,DF,Cuiabá,23-065,2001,0.8,1,1,1,0,0,0,0,,0,0,0,0,2,3,1,0,Matches
353,Raniele,br BRA,"MF,DF",Corinthians,27-138,1996,4.4,6,3,2,3,1,2,10,20.0,8,11,3,8,6,12,4,0,Matches
354,Rafael Ratão,br BRA,FW,Bahia,28-169,1995,0.4,2,1,1,1,0,1,3,33.3,2,1,0,1,0,2,1,0,Matches
355,Raul,br BRA,MF,Red Bull Bragantino,27-311,1996,1.4,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,Matches
356,Pedro Raul,br BRA,FW,Corinthians,27-194,1996,1.7,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0,Matches
357,Robert Renan,br BRA,DF,Internacional,20-219,2003,1.1,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,5,0,Matches
358,Renê,br BRA,DF,Internacional,31-246,1992,4.0,10,7,2,8,0,3,6,50.0,3,2,0,2,9,19,9,0,Matches
359,Rezende,br BRA,"MF,DF",Bahia,29-136,1995,2.2,9,7,4,4,1,1,1,100.0,0,3,1,2,4,13,5,0,Matches
360,Rhaldney,br BRA,MF,Atl Goianiense,25-179,1998,2.7,6,4,2,3,1,1,7,14.3,6,2,1,1,2,8,5,0,Matches
361,Everton Ribeiro,br BRA,"MF,FW",Bahia,35-037,1989,4.6,9,5,4,2,3,4,14,28.6,10,4,0,4,9,18,0,0,Matches
362,Wesley Ribeiro,br BRA,FW,Corinthians,19-073,2005,4.7,2,0,1,1,0,1,3,33.3,2,9,0,9,2,4,0,0,Matches
363,João Ricardo Riedi,br BRA,GK,Fortaleza,35-254,1988,5.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0,Matches
364,Rikelme,br BRA,DF,Cuiabá,20-306,2003,3.3,7,5,5,2,0,5,8,62.5,3,6,0,6,6,13,8,0,Matches
365,Rildo,br BRA,"MF,FW",Juventude,24-117,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
366,Richard Ríos,co COL,MF,Palmeiras,23-350,2000,3.9,10,5,3,4,3,1,7,14.3,6,4,0,4,3,13,2,0,Matches
367,Robert,br BRA,DF,Cruzeiro,19-034,2005,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
