Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
69,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-105,2001,6.0,18,12,9,8,1,7,10,70.0,3,9,7,2,6,24,35,0,Matches
70,Germán Cano,ar ARG,"FW,MF",Fluminense,36-105,1988,4.6,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,5,1,Matches
71,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-229,1998,3.3,4,4,0,4,0,0,3,0.0,3,5,0,5,0,4,0,0,Matches
72,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-316,1997,3.8,12,5,5,6,1,6,11,54.5,5,5,0,5,6,18,11,0,Matches
73,Carlinhos,br BRA,"FW,DF",Flamengo,27-095,1997,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
74,Antonio Carlos,br BRA,DF,Fluminense,31-071,1993,1.5,1,1,0,1,0,0,1,0.0,1,5,4,1,1,2,7,1,Matches
75,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-092,1992,2.3,3,2,0,3,0,1,3,33.3,2,4,0,4,2,5,0,0,Matches
76,Cássio,br BRA,GK,Corinthians,36-346,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
77,Iury de Castilho,br BRA,"FW,MF",Vitória,28-254,1995,0.8,1,0,1,0,0,0,0,,0,1,0,1,0,1,2,0,Matches
78,Murilo Cerqueira,br BRA,DF,Palmeiras,27-051,1997,4.8,10,6,4,6,0,3,7,42.9,4,6,3,3,8,18,13,0,Matches
79,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-135,1997,1.9,2,2,1,1,0,0,1,0.0,1,5,3,2,0,2,10,0,Matches
80,Christian,br BRA,"FW,MF",Ath Paranaense,23-150,2000,1.2,3,1,1,1,1,1,1,100.0,0,3,1,2,0,3,1,0,Matches
81,Eliel Chrystian,br BRA,MF,Cuiabá,21-112,2003,0.5,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
82,Cicinho,bg BUL,MF,Bahia,35-143,1988,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
83,José Cifuentes,ec ECU,MF,Cruzeiro,25-066,1999,0.8,3,2,0,2,1,2,3,66.7,1,0,0,0,0,3,3,0,Matches
84,Claudinho,br BRA,DF,Criciúma,23-236,2000,2.7,7,3,6,0,1,6,12,50.0,6,4,0,4,6,13,10,0,Matches
85,Clayson,br BRA,MF,Cuiabá,29-059,1995,2.0,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,0,0,Matches
86,Clayton,br BRA,FW,Vasco da Gama,25-127,1999,0.6,2,2,1,0,1,1,1,100.0,0,1,1,0,0,2,1,0,Matches
87,Mateus Cocão,br BRA,MF,Vasco da Gama,22-060,2002,3.2,7,6,3,3,1,1,12,8.3,11,5,0,5,4,11,1,1,Matches
88,Igor Coronado,br BRA,"MF,FW",Corinthians,31-273,1992,2.0,3,2,2,0,1,0,1,0.0,1,6,1,5,3,6,2,0,Matches
89,Diego Costa,es ESP,FW,Grêmio,35-223,1988,1.3,2,0,0,1,1,1,1,100.0,0,1,1,0,0,2,0,0,Matches
90,Douglas Costa,br BRA,FW,Fluminense,33-246,1990,1.8,2,2,0,1,1,0,0,,0,4,0,4,2,4,1,0,Matches
91,Franco Cristaldo,ar ARG,MF,Grêmio,27-276,1996,3.1,1,1,1,0,0,1,6,16.7,5,5,0,5,0,1,2,0,Matches
92,Alejo Cruz,uy URU,MF,Atl Goianiense,23-259,2000,1.7,2,0,1,1,0,1,2,50.0,1,2,0,2,0,2,3,0,Matches
93,Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,24-073,2000,3.8,4,3,2,2,0,2,4,50.0,2,7,1,6,7,11,1,0,Matches
94,Víctor Cuesta,ar ARG,DF,Bahia,35-180,1988,2.7,7,5,1,5,1,4,6,66.7,2,1,0,1,0,7,14,0,Matches
95,Cuiabano,br BRA,DF,Grêmio,21-091,2003,1.8,3,0,2,1,0,2,2,100.0,0,4,2,2,5,8,5,0,Matches
96,Cuiabano,br BRA,DF,Botafogo (RJ),21-091,2003,1.5,4,2,2,2,0,2,3,66.7,1,1,0,1,2,6,5,0,Matches
97,Lucas Cunha,br BRA,DF,Red Bull Bragantino,27-115,1997,0.3,1,1,1,0,0,0,0,,0,2,2,0,0,1,5,0,Matches
98,Danielzinho,br BRA,MF,Atl Goianiense,28-127,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
99,David,br BRA,FW,Vasco da Gama,28-213,1995,5.7,9,7,2,6,1,0,2,0.0,2,3,0,3,3,12,3,0,Matches
100,Giorgian De Arrascaeta,uy URU,MF,Flamengo,29-351,1994,2.8,1,1,0,1,0,1,6,16.7,5,1,1,0,1,2,0,0,Matches
101,Nicolás De La Cruz,uy URU,MF,Flamengo,26-351,1997,5.0,14,10,2,9,3,6,10,60.0,4,6,3,3,4,18,0,0,Matches
