Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matches;Curr_Date
27;Arthur;br BRA;FW,MF;Criciúma;31-338;1992;1.0;0;1;1;100.0;1.00;1.00;0.00;0.00;29.3;1;0;0;0.0;0.0;0.05;0.0;0.0;Matches;2024-05-18
28;Filipe Augusto;br BRA;MF;Cuiabá;30-280;1993;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
29;Renato Augusto;br BRA;FW,MF;Fluminense;36-100;1988;0.7;1;2;1;50.0;2.90;1.45;0.50;1.00;23.0;0;0;0;0.4;0.4;0.22;+0.6;+0.6;Matches;2024-05-18
30;Gabriel Baralhas;br BRA;MF;Atl Goianiense;25-221;1998;3.6;0;6;0;0.0;1.67;0.00;0.00;;24.3;0;0;0;0.2;0.2;0.03;-0.2;-0.2;Matches;2024-05-18
31;Danilo Barbosa;br BRA;MF;Botafogo (RJ);28-080;1996;3.5;3;5;3;60.0;1.41;0.85;0.60;1.00;13.4;0;0;0;0.9;0.9;0.18;+2.1;+2.1;Matches;2024-05-18
32;Diogo Barbosa;br BRA;DF;Fluminense;31-275;1992;1.7;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
33;Gabriel Barbosa;br BRA;FW;Flamengo;27-262;1996;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
34;Lucas Barbosa;br BRA;MF,FW;Juventude;23-086;2001;3.3;1;12;2;16.7;3.67;0.61;0.08;0.50;22.7;0;0;0;1.3;1.3;0.10;-0.3;-0.3;Matches;2024-05-18
35;Alexander Barboza;ar ARG;DF,FW;Botafogo (RJ);29-063;1995;1.4;0;3;0;0.0;2.18;0.00;0.00;;21.0;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
36;Mateo Barcia;uy URU;MF;Criciúma;23-089;2001;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
37;Álvaro Barreal;ar ARG;MF,FW;Cruzeiro;23-275;2000;2.2;0;5;1;20.0;2.30;0.46;0.00;0.00;20.7;0;0;0;0.4;0.4;0.09;-0.4;-0.4;Matches;2024-05-18
38;Barreto;br BRA;MF;Criciúma;28-160;1995;2.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
39;Gabriel Barros;br BRA;FW,MF;Atl Goianiense;22-206;2001;0.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
40;Bastos;ao ANG;DF;Botafogo (RJ);33-052;1991;5.4;0;2;0;0.0;0.37;0.00;0.00;;10.3;0;0;0;0.1;0.1;0.07;-0.1;-0.1;Matches;2024-05-18
41;Rodrigo Battaglia;ar ARG;DF;Atlético Mineiro;32-311;1991;2.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
42;José Luis Rodríguez Bebanz;uy URU;FW;Vasco da Gama;27-065;1997;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
43;Ramiro Benetti;br BRA;MF;Cruzeiro;30-362;1993;2.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
44;Bento;br BRA;GK;Ath Paranaense;24-343;1999;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
45;Raul Bicalho;br BRA;DF;Corinthians;25-024;1999;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
46;Matheus Bidu;br BRA;DF;Corinthians;25-014;1999;0.2;0;1;1;100.0;5.00;5.00;0.00;0.00;23.2;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
47;Biel;br BRA;FW,MF;Bahia;23-047;2001;1.6;2;4;2;50.0;2.54;1.27;0.50;1.00;12.7;0;0;0;1.6;1.6;0.39;+0.4;+0.4;Matches;2024-05-18
48;Guilherme Biro;br BRA;MF;Corinthians;20-028;2004;0.1;0;2;0;0.0;18.00;0.00;0.00;;29.0;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches;2024-05-18
49;Damián Bobadilla;py PAR;MF;São Paulo;22-312;2001;2.1;1;6;1;16.7;2.87;0.48;0.17;1.00;23.0;0;0;0;0.3;0.3;0.05;+0.7;+0.7;Matches;2024-05-18
50;Yannick Bolasie;cd COD;FW;Criciúma;34-360;1989;1.9;1;5;2;40.0;2.65;1.06;0.20;0.50;17.3;0;0;0;0.4;0.4;0.07;+0.6;+0.6;Matches;2024-05-18
51;Thiago Borbas;uy URU;FW;Red Bull Bragantino;22-041;2002;2.2;1;6;3;50.0;2.74;1.37;0.17;0.33;15.4;0;0;0;0.5;0.5;0.09;+0.5;+0.5;Matches;2024-05-18
52;Marllon Borges;br BRA;DF;Cuiabá;32-032;1992;4.0;0;2;1;50.0;0.50;0.25;0.00;0.00;11.4;0;0;0;0.3;0.3;0.16;-0.3;-0.3;Matches;2024-05-18
53;Pedro Borges;br BRA;MF;Fortaleza;27-076;1997;2.4;0;1;1;100.0;0.41;0.41;0.00;0.00;28.5;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
54;Rafael Borré;co COL;FW;Internacional;28-246;1995;4.0;1;17;6;35.3;4.25;1.50;0.06;0.17;12.0;0;0;1;3.9;3.1;0.19;-2.9;-2.1;Matches;2024-05-18
55;Danilo Boza;br BRA;DF;Juventude;26-012;1998;3.0;1;4;2;50.0;1.33;0.67;0.25;0.50;12.0;0;0;0;0.2;0.2;0.05;+0.8;+0.8;Matches;2024-05-18
56;Breno;br BRA;FW;Fortaleza;28-115;1996;2.1;0;5;0;0.0;2.33;0.00;0.00;;17.9;0;0;0;0.7;0.7;0.13;-0.7;-0.7;Matches;2024-05-18
57;Breno;br BRA;MF;Corinthians;19-088;2005;2.9;0;3;2;66.7;1.02;0.68;0.00;0.00;19.4;0;0;0;0.4;0.4;0.12;-0.4;-0.4;Matches;2024-05-18
58;Emanuel Brítez;ar ARG;DF;Fortaleza;32-053;1992;4.0;0;2;1;50.0;0.50;0.25;0.00;0.00;10.2;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
59;Bruninho;br BRA;FW,MF;Red Bull Bragantino;21-065;2003;0.9;0;3;0;0.0;3.42;0.00;0.00;;19.7;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matches;2024-05-18
60;Fabrício Bruno;br BRA;DF;Flamengo;28-096;1996;5.0;0;2;1;50.0;0.40;0.20;0.00;0.00;12.6;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
61;Fabricio Bustos;ar ARG;DF,MF;Internacional;28-020;1996;3.2;0;1;0;0.0;0.32;0.00;0.00;;26.5;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
62;Rafael Cabral;br BRA;GK;Grêmio;33-364;1990;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
63;Cacá;br BRA;DF;Corinthians;25-023;1999;2.8;1;4;2;50.0;1.42;0.71;0.25;0.50;16.1;0;0;0;1.1;1.1;0.28;-0.1;-0.1;Matches;2024-05-18
64;Jonathan Cafu;br BRA;MF,FW;Cuiabá;32-313;1991;1.1;0;1;1;100.0;0.87;0.87;0.00;0.00;7.9;0;0;0;0.6;0.6;0.56;-0.6;-0.6;Matches;2024-05-18
65;Jonathan Calleri;ar ARG;FW;São Paulo;30-238;1993;4.4;1;8;1;12.5;1.81;0.23;0.13;1.00;10.6;0;0;0;1.1;1.1;0.14;-0.1;-0.1;Matches;2024-05-18
66;Patric Calmon PK;br BRA;DF;Vitória;29-318;1994;1.5;0;2;1;50.0;1.33;0.67;0.00;0.00;18.4;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
67;Camutanga;br BRA;DF;Vitória;30-234;1993;2.0;0;1;0;0.0;0.50;0.00;0.00;;43.5;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
68;Yerson Candelo;co COL;DF;Criciúma;32-084;1992;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
69;Luan Cândido;br BRA;DF;Red Bull Bragantino;23-106;2001;6.0;0;6;0;0.0;1.00;0.00;0.00;;23.9;2;0;0;0.2;0.2;0.03;-0.2;-0.2;Matches;2024-05-18
70;Germán Cano;ar ARG;FW,MF;Fluminense;36-106;1988;4.6;2;14;8;57.1;3.07;1.76;0.14;0.25;15.0;0;0;0;2.5;2.5;0.18;-0.5;-0.5;Matches;2024-05-18
71;Agustín Canobbio;uy URU;FW,MF;Ath Paranaense;25-230;1998;3.3;2;10;3;30.0;3.03;0.91;0.20;0.67;17.9;0;0;0;0.5;0.5;0.05;+1.5;+1.5;Matches;2024-05-18
72;Juninho Capixaba;br BRA;DF,MF;Red Bull Bragantino;26-317;1997;3.8;0;5;0;0.0;1.33;0.00;0.00;;20.8;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matches;2024-05-18
73;Carlinhos;br BRA;FW,DF;Flamengo;27-096;1997;0.7;0;2;0;0.0;3.05;0.00;0.00;;23.3;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
74;Antonio Carlos;br BRA;DF;Fluminense;31-072;1993;1.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
75;Jean Carlos Vicente;br BRA;FW,MF;Juventude;32-093;1992;2.3;2;4;3;75.0;1.76;1.32;0.50;0.67;25.6;0;0;0;0.3;0.3;0.07;+1.7;+1.7;Matches;2024-05-18
76;Cássio;br BRA;GK;Corinthians;36-347;1987;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
