Rk;Player;Nation;Pos;Squad;Age;Born;MP;Min;Mn/MP;Min%;90s;Starts;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off_2;Matches;Curr_Date
278;Jhonatan Jowjow;br BRA;MF;Palmeiras;21-253;2002;0;;;;;0;;0;0;;4;;;;;;;;;;;;Matches;2024-05-18
279;Daniel Jr;br BRA;MF,FW;Vitória;22-010;2002;2;31;16;6.9;0.3;0;;0;2;16;2;0.00;0;1;-1;-2.90;-1.83;0.2;0.9;-0.7;-2.04;-1.36;Matches;2024-05-18
280;Luciano Juba;br BRA;DF;Bahia;24-264;1999;6;540;90;100.0;6.0;6;90;6;0;;0;2.17;9;6;+3;+0.50;;8.9;5.3;+3.6;+0.60;;Matches;2024-05-18
281;Julimar;br BRA;FW,MF;Ath Paranaense;23-115;2001;6;307;51;56.9;3.4;3;54;0;3;48;0;2.17;5;1;+4;+1.17;+0.40;5.2;3.4;+1.8;+0.52;+0.86;Matches;2024-05-18
282;Justen;br BRA;DF;Fluminense;20-321;2003;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches;2024-05-18
283;Kaiki;br BRA;DF;Cruzeiro;21-072;2003;0;;;;;0;;0;0;;5;;;;;;;;;;;;Matches;2024-05-18
284;Lucas Kal;br BRA;MF,DF;Atl Goianiense;28-064;1996;2;119;60;26.4;1.3;1;82;0;1;37;3;0.00;0;2;-2;-1.51;-0.42;1.4;1.0;+0.4;+0.27;+0.74;Matches;2024-05-18
285;Walter Kannemann;ar ARG;DF;Grêmio;33-066;1991;2;103;52;28.6;1.1;2;52;1;0;;0;1.00;1;1;0;0.00;-0.35;0.1;1.4;-1.3;-1.16;-1.46;Matches;2024-05-18
286;Kanu;br BRA;DF;Bahia;27-073;1997;4;360;90;66.7;4.0;4;90;4;0;;2;2.25;5;3;+2;+0.50;0.00;5.4;3.3;+2.1;+0.52;-0.25;Matches;2024-05-18
287;Alan Kardec;br BRA;FW;Atlético Mineiro;35-128;1989;1;12;12;2.7;0.1;0;;0;1;12;4;3.00;0;0;0;0.00;-1.23;0.0;0.2;-0.2;-1.58;-2.07;Matches;2024-05-18
288;Kauan;br BRA;MF;Fortaleza;19-033;2005;0;;;;;0;;0;0;;4;;;;;;;;;;;;Matches;2024-05-18
289;Kauê;br BRA;MF;Botafogo (RJ);19-210;2004;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches;2024-05-18
290;Renato Kayser;br BRA;FW;Criciúma;28-092;1996;1;85;85;31.5;0.9;1;85;0;0;;0;1.00;1;1;0;0.00;-1.95;0.7;0.6;+0.1;+0.09;+0.63;Matches;2024-05-18
291;Renato Kayser;br BRA;FW;Fortaleza;28-092;1996;4;228;57;50.7;2.5;3;72;1;1;11;0;1.00;2;3;-1;-0.39;-1.21;3.0;2.0;+1.0;+0.38;+0.72;Matches;2024-05-18
292;Keiller;br BRA;GK;Vasco da Gama;27-203;1996;0;;;;;0;;0;0;;5;;;;;;;;;;;;Matches;2024-05-18
293;John Kennedy;br BRA;FW;Fluminense;22-001;2002;4;119;30;22.0;1.3;0;;0;4;30;0;1.00;1;2;-1;-0.76;-0.11;1.2;1.5;-0.3;-0.19;+0.21;Matches;2024-05-18
294;Keno;br BRA;FW;Fluminense;34-252;1989;1;78;78;14.4;0.9;1;78;0;0;;0;0.00;1;1;0;0.00;+0.78;0.4;1.3;-0.9;-1.04;-0.79;Matches;2024-05-18
