Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_2;Ast_2;G+A_2;G-PK_2;G+A-PK;xG_2;xAG_2;xG+xAG_2;npxG_2;npxG+xAG_2;Matches;Curr_Date
26;Arthur;br BRA;FW;Cruzeiro;25-320;1998;5;5;343;3.8;1;1;2;1;0;0;1;0;0.1;0.1;0.3;0.4;10;7;30;0.26;0.26;0.52;0.26;0.52;0.02;0.08;0.10;0.02;0.10;Matches;2024-05-18
27;Arthur;br BRA;FW,MF;Criciúma;31-338;1992;3;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;0;4;2;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.09;0.05;0.09;Matches;2024-05-18
28;Filipe Augusto;br BRA;MF;Cuiabá;30-280;1993;1;0;14;0.2;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
29;Renato Augusto;br BRA;FW,MF;Fluminense;36-100;1988;2;0;62;0.7;1;0;1;1;0;0;0;0;0.4;0.4;0.1;0.5;0;3;2;1.45;0.00;1.45;1.45;1.45;0.64;0.09;0.73;0.64;0.73;Matches;2024-05-18
30;Gabriel Baralhas;br BRA;MF;Atl Goianiense;25-221;1998;4;4;323;3.6;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;2;19;7;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.07;0.05;0.07;Matches;2024-05-18
31;Danilo Barbosa;br BRA;MF;Botafogo (RJ);28-080;1996;6;4;319;3.5;3;0;3;3;0;0;2;0;0.9;0.9;0.0;0.9;4;12;3;0.85;0.00;0.85;0.85;0.85;0.26;0.00;0.26;0.26;0.26;Matches;2024-05-18
32;Diogo Barbosa;br BRA;DF;Fluminense;31-275;1992;3;2;156;1.7;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;2;4;5;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches;2024-05-18
33;Gabriel Barbosa;br BRA;FW;Flamengo;27-262;1996;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
34;Lucas Barbosa;br BRA;MF,FW;Juventude;23-086;2001;4;4;294;3.3;1;1;2;1;0;0;1;0;1.3;1.3;0.2;1.5;6;17;21;0.31;0.31;0.61;0.31;0.61;0.38;0.07;0.45;0.38;0.45;Matches;2024-05-18
35;Alexander Barboza;ar ARG;DF,FW;Botafogo (RJ);29-063;1995;4;1;124;1.4;0;0;0;0;0;0;2;1;0.1;0.1;0.0;0.1;1;10;2;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06;Matches;2024-05-18
36;Mateo Barcia;uy URU;MF;Criciúma;23-089;2001;1;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
37;Álvaro Barreal;ar ARG;MF,FW;Cruzeiro;23-275;2000;5;1;196;2.2;0;2;2;0;0;0;0;0;0.4;0.4;0.1;0.6;2;8;21;0.00;0.92;0.92;0.00;0.92;0.20;0.07;0.26;0.20;0.26;Matches;2024-05-18
38;Barreto;br BRA;MF;Criciúma;28-160;1995;3;3;258;2.9;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.1;1;11;3;0.00;0.35;0.35;0.00;0.35;0.00;0.05;0.05;0.00;0.05;Matches;2024-05-18
39;Gabriel Barros;br BRA;FW,MF;Atl Goianiense;22-206;2001;2;1;79;0.9;0;0;0;0;0;0;2;1;0.0;0.0;0.0;0.0;0;3;4;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;Matches;2024-05-18
40;Bastos;ao ANG;DF;Botafogo (RJ);33-052;1991;6;6;486;5.4;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;1;21;0;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches;2024-05-18
41;Rodrigo Battaglia;ar ARG;DF;Atlético Mineiro;32-311;1991;3;3;216;2.4;0;0;0;0;0;0;2;1;0.0;0.0;0.0;0.0;0;10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
42;José Luis Rodríguez Bebanz;uy URU;FW;Vasco da Gama;27-065;1997;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
43;Ramiro Benetti;br BRA;MF;Cruzeiro;30-362;1993;4;3;219;2.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;8;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
44;Bento;br BRA;GK;Ath Paranaense;24-343;1999;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
45;Raul Bicalho;br BRA;DF;Corinthians;25-024;1999;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
46;Matheus Bidu;br BRA;DF;Corinthians;25-014;1999;1;0;18;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;0;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches;2024-05-18
47;Biel;br BRA;FW,MF;Bahia;23-047;2001;6;0;142;1.6;2;1;3;2;0;0;0;0;1.6;1.6;0.7;2.2;6;7;19;1.27;0.63;1.90;1.27;1.90;0.99;0.42;1.42;0.99;1.42;Matches;2024-05-18
48;Guilherme Biro;br BRA;MF;Corinthians;20-028;2004;2;0;10;0.1;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;1;1;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.81;0.81;0.81;Matches;2024-05-18
49;Damián Bobadilla;py PAR;MF;São Paulo;22-312;2001;4;3;188;2.1;1;0;1;1;0;0;1;0;0.3;0.3;0.2;0.5;2;9;2;0.48;0.00;0.48;0.48;0.48;0.14;0.09;0.23;0.14;0.23;Matches;2024-05-18
50;Yannick Bolasie;cd COD;FW;Criciúma;34-360;1989;3;2;170;1.9;1;2;3;1;0;0;1;0;0.4;0.4;0.2;0.6;8;3;18;0.53;1.06;1.59;0.53;1.59;0.20;0.11;0.30;0.20;0.30;Matches;2024-05-18
51;Thiago Borbas;uy URU;FW;Red Bull Bragantino;22-041;2002;6;1;197;2.2;1;0;1;1;0;0;1;0;0.5;0.5;0.0;0.6;0;3;11;0.46;0.00;0.46;0.46;0.46;0.24;0.02;0.26;0.24;0.26;Matches;2024-05-18
52;Marllon Borges;br BRA;DF;Cuiabá;32-032;1992;4;4;360;4.0;0;0;0;0;0;0;1;0;0.3;0.3;0.0;0.3;2;7;1;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.08;0.08;0.08;Matches;2024-05-18
53;Pedro Borges;br BRA;MF;Fortaleza;27-076;1997;4;2;217;2.4;0;1;1;0;0;0;3;0;0.0;0.0;0.2;0.2;0;11;3;0.00;0.41;0.41;0.00;0.41;0.01;0.09;0.09;0.01;0.09;Matches;2024-05-18
54;Rafael Borré;co COL;FW;Internacional;28-246;1995;4;4;360;4.0;1;1;2;1;0;1;1;0;3.9;3.1;0.3;3.4;3;4;26;0.25;0.25;0.50;0.25;0.50;0.96;0.08;1.05;0.77;0.85;Matches;2024-05-18
55;Danilo Boza;br BRA;DF;Juventude;26-012;1998;3;3;270;3.0;1;0;1;1;0;0;0;0;0.2;0.2;0.1;0.3;2;7;2;0.33;0.00;0.33;0.33;0.33;0.06;0.04;0.10;0.06;0.10;Matches;2024-05-18
56;Breno;br BRA;FW;Fortaleza;28-115;1996;3;3;193;2.1;0;2;2;0;0;0;1;0;0.7;0.7;0.1;0.8;7;8;12;0.00;0.93;0.93;0.00;0.93;0.31;0.04;0.36;0.31;0.36;Matches;2024-05-18
57;Breno;br BRA;MF;Corinthians;19-088;2005;4;3;265;2.9;0;0;0;0;0;0;1;0;0.4;0.4;0.0;0.4;1;9;6;0.00;0.00;0.00;0.00;0.00;0.12;0.01;0.14;0.12;0.14;Matches;2024-05-18
58;Emanuel Brítez;ar ARG;DF;Fortaleza;32-053;1992;4;4;360;4.0;0;0;0;0;0;0;3;0;0.1;0.1;0.0;0.1;1;5;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches;2024-05-18
59;Bruninho;br BRA;FW,MF;Red Bull Bragantino;21-065;2003;2;1;79;0.9;0;1;1;0;0;0;0;0;0.2;0.2;0.1;0.2;0;4;7;0.00;1.14;1.14;0.00;1.14;0.18;0.08;0.26;0.18;0.26;Matches;2024-05-18
60;Fabrício Bruno;br BRA;DF;Flamengo;28-096;1996;5;5;450;5.0;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;0;16;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches;2024-05-18
61;Fabricio Bustos;ar ARG;DF,MF;Internacional;28-020;1996;4;3;285;3.2;0;0;0;0;0;0;1;0;0.0;0.0;0.3;0.3;2;16;23;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches;2024-05-18
62;Rafael Cabral;br BRA;GK;Grêmio;33-364;1990;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
63;Cacá;br BRA;DF;Corinthians;25-023;1999;3;3;254;2.8;1;0;1;1;0;0;0;0;1.1;1.1;0.0;1.1;1;4;0;0.35;0.00;0.35;0.35;0.35;0.40;0.00;0.40;0.40;0.40;Matches;2024-05-18
64;Jonathan Cafu;br BRA;MF,FW;Cuiabá;32-313;1991;3;1;103;1.1;0;0;0;0;0;0;0;0;0.6;0.6;0.0;0.6;3;4;9;0.00;0.00;0.00;0.00;0.00;0.49;0.00;0.49;0.49;0.49;Matches;2024-05-18
65;Jonathan Calleri;ar ARG;FW;São Paulo;30-238;1993;5;5;397;4.4;1;0;1;1;0;0;1;0;1.1;1.1;0.0;1.1;2;4;20;0.23;0.00;0.23;0.23;0.23;0.25;0.01;0.25;0.25;0.25;Matches;2024-05-18
66;Patric Calmon PK;br BRA;DF;Vitória;29-318;1994;2;2;135;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;4;6;12;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches;2024-05-18
67;Camutanga;br BRA;DF;Vitória;30-234;1993;2;2;179;2.0;0;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches;2024-05-18
68;Yerson Candelo;co COL;DF;Criciúma;32-084;1992;2;0;28;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;0;3;0.00;0.00;0.00;0.00;0.00;0.00;0.23;0.23;0.00;0.23;Matches;2024-05-18
69;Luan Cândido;br BRA;DF;Red Bull Bragantino;23-106;2001;6;6;540;6.0;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;1;5;6;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.04;0.03;0.04;Matches;2024-05-18
70;Germán Cano;ar ARG;FW,MF;Fluminense;36-106;1988;5;5;410;4.6;2;0;2;2;0;0;1;0;2.5;2.5;0.2;2.7;1;6;9;0.44;0.00;0.44;0.44;0.44;0.54;0.05;0.59;0.54;0.59;Matches;2024-05-18
71;Agustín Canobbio;uy URU;FW,MF;Ath Paranaense;25-230;1998;5;4;297;3.3;2;1;3;2;0;0;2;1;0.5;0.5;0.8;1.3;11;16;26;0.61;0.30;0.91;0.61;0.91;0.15;0.26;0.41;0.15;0.41;Matches;2024-05-18
72;Juninho Capixaba;br BRA;DF,MF;Red Bull Bragantino;26-317;1997;5;5;338;3.8;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.3;2;14;5;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.07;0.06;0.07;Matches;2024-05-18
73;Carlinhos;br BRA;FW,DF;Flamengo;27-096;1997;2;1;59;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;2;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches;2024-05-18
74;Antonio Carlos;br BRA;DF;Fluminense;31-072;1993;2;1;135;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.00;0.09;Matches;2024-05-18
75;Jean Carlos Vicente;br BRA;FW,MF;Juventude;32-093;1992;3;3;204;2.3;2;1;3;2;0;0;1;0;0.3;0.3;0.9;1.2;6;13;8;0.88;0.44;1.32;0.88;1.32;0.12;0.40;0.53;0.12;0.53;Matches;2024-05-18
76;Cássio;br BRA;GK;Corinthians;36-347;1987;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
77;Iury de Castilho;br BRA;FW,MF;Vitória;28-255;1995;3;0;74;0.8;1;0;1;1;0;0;1;0;1.2;1.2;0.0;1.2;5;8;8;1.22;0.00;1.22;1.22;1.22;1.43;0.03;1.46;1.43;1.46;Matches;2024-05-18
78;Murilo Cerqueira;br BRA;DF;Palmeiras;27-052;1997;5;5;436;4.8;0;0;0;0;0;0;3;0;0.2;0.2;0.1;0.3;4;16;1;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07;Matches;2024-05-18
79;Reynaldo Cesar Moraes;br BRA;DF;Vitória;27-136;1997;2;1;168;1.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
80;Christian;br BRA;FW,MF;Ath Paranaense;23-151;2000;2;1;107;1.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;4;5;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09;Matches;2024-05-18
81;Eliel Chrystian;br BRA;MF;Cuiabá;21-113;2003;1;0;45;0.5;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;1;0;1;0.00;0.00;0.00;0.00;0.00;0.42;0.00;0.42;0.42;0.42;Matches;2024-05-18
82;Cicinho;bg BUL;MF;Bahia;35-144;1988;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
83;José Cifuentes;ec ECU;MF;Cruzeiro;25-067;1999;3;1;69;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;3;8;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches;2024-05-18
84;Claudinho;br BRA;DF;Criciúma;23-237;2000;3;3;242;2.7;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.3;4;8;9;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches;2024-05-18
85;Clayson;br BRA;MF;Cuiabá;29-060;1995;4;3;179;2.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;8;10;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches;2024-05-18
86;Clayton;br BRA;FW;Vasco da Gama;25-128;1999;4;0;52;0.6;0;0;0;0;0;0;0;0;0.7;0.7;0.0;0.7;1;0;5;0.00;0.00;0.00;0.00;0.00;1.15;0.00;1.15;1.15;1.15;Matches;2024-05-18
87;Mateus Cocão;br BRA;MF;Vasco da Gama;22-061;2002;6;4;284;3.2;1;0;1;1;0;0;2;0;0.4;0.4;0.0;0.4;3;20;6;0.32;0.00;0.32;0.32;0.32;0.11;0.00;0.11;0.11;0.11;Matches;2024-05-18
88;Igor Coronado;br BRA;MF,FW;Corinthians;31-274;1992;4;2;178;2.0;0;0;0;0;0;0;0;0;0.1;0.1;0.4;0.5;8;11;10;0.00;0.00;0.00;0.00;0.00;0.03;0.22;0.25;0.03;0.25;Matches;2024-05-18
89;Diego Costa;es ESP;FW;Grêmio;35-224;1988;2;2;116;1.3;0;0;0;0;0;0;0;1;0.1;0.1;0.0;0.1;1;3;6;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches;2024-05-18
90;Douglas Costa;br BRA;FW;Fluminense;33-247;1990;5;1;164;1.8;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.3;7;9;16;0.00;0.00;0.00;0.00;0.00;0.03;0.14;0.17;0.03;0.17;Matches;2024-05-18
91;Franco Cristaldo;ar ARG;MF;Grêmio;27-277;1996;4;3;277;3.1;2;0;2;2;0;0;0;0;0.4;0.4;0.3;0.7;5;22;15;0.65;0.00;0.65;0.65;0.65;0.13;0.10;0.22;0.13;0.22;Matches;2024-05-18
92;Alejo Cruz;uy URU;MF;Atl Goianiense;23-260;2000;4;3;153;1.7;0;0;0;0;0;0;1;0;0.2;0.2;0.1;0.3;2;8;16;0.00;0.00;0.00;0.00;0.00;0.10;0.06;0.16;0.10;0.16;Matches;2024-05-18
93;Tomás Cuello;ar ARG;FW,MF;Ath Paranaense;24-074;2000;6;6;343;3.8;0;0;0;0;0;0;0;0;0.4;0.4;0.3;0.7;11;11;26;0.00;0.00;0.00;0.00;0.00;0.10;0.07;0.17;0.10;0.17;Matches;2024-05-18
94;Víctor Cuesta;ar ARG;DF;Bahia;35-181;1988;3;3;239;2.7;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;0;7;1;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches;2024-05-18
95;Cuiabano;br BRA;DF;Grêmio;21-092;2003;2;2;163;1.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;10;5;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches;2024-05-18
96;Cuiabano;br BRA;DF;Botafogo (RJ);21-092;2003;2;1;135;1.5;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;4;0;25;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.10;0.10;0.10;Matches;2024-05-18
97;Lucas Cunha;br BRA;DF;Red Bull Bragantino;27-116;1997;2;0;29;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
98;Danielzinho;br BRA;MF;Atl Goianiense;28-128;1996;1;0;19;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;2024-05-18
99;David;br BRA;FW;Vasco da Gama;28-214;1995;6;6;514;5.7;1;1;2;1;0;0;1;0;0.9;0.9;0.8;1.8;17;15;48;0.18;0.18;0.35;0.18;0.35;0.17;0.15;0.31;0.17;0.31;Matches;2024-05-18
100;Giorgian De Arrascaeta;uy URU;MF;Flamengo;29-352;1994;3;3;249;2.8;0;0;0;0;0;0;1;0;0.1;0.1;0.2;0.3;3;18;21;0.00;0.00;0.00;0.00;0.00;0.05;0.06;0.11;0.05;0.11;Matches;2024-05-18
101;Nicolás De La Cruz;uy URU;MF;Flamengo;26-352;1997;6;5;449;5.0;2;2;4;2;0;0;1;0;1.4;1.4;1.5;2.9;8;45;14;0.40;0.40;0.80;0.40;0.80;0.29;0.30;0.58;0.29;0.58;Matches;2024-05-18
102;Denilson;br BRA;MF;Cuiabá;23-056;2001;3;3;225;2.5;0;0;0;0;0;0;2;0;0.0;0.0;0.1;0.1;1;5;4;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;Matches;2024-05-18
103;Derek;br BRA;FW;Atl Goianiense;26-168;1997;4;1;132;1.5;1;0;1;1;0;0;1;0;1.0;1.0;0.6;1.5;1;5;5;0.68;0.00;0.68;0.68;0.68;0.65;0.38;1.03;0.65;1.03;Matches;2024-05-18
