Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Curr_Date
33,Gabriel Barbosa,br BRA,FW,Flamengo,27-262,1996,0.5,7,0,1,4,2,1,7,0,0,,0,,5,19,6,0,0,0,2,0,6,2,Matches,2024-05-18
34,Lucas Barbosa,br BRA,"MF,FW",Juventude,23-086,2001,3.3,178,3,21,82,75,10,178,9,3,33.3,5,55.6,87,563,193,6,5,0,6,3,122,21,Matches,2024-05-18
35,Alexander Barboza,ar ARG,"DF,FW",Botafogo (RJ),29-063,1995,1.4,97,13,40,53,5,2,97,0,0,,0,,58,231,111,1,0,0,1,0,62,2,Matches,2024-05-18
36,Mateo Barcia,uy URU,MF,Criciúma,23-089,2001,0.1,5,1,4,0,1,0,5,1,1,100.0,0,0.0,1,3,0,0,0,0,2,0,0,0,Matches,2024-05-18
37,Álvaro Barreal,ar ARG,"MF,FW",Cruzeiro,23-275,2000,2.2,136,3,25,48,63,8,136,8,3,37.5,5,62.5,81,306,121,2,2,1,4,4,89,21,Matches,2024-05-18
38,Barreto,br BRA,MF,Criciúma,28-160,1995,2.9,129,9,42,67,20,0,129,4,2,50.0,2,50.0,56,286,122,1,3,0,3,1,73,3,Matches,2024-05-18
39,Gabriel Barros,br BRA,"FW,MF",Atl Goianiense,22-206,2001,0.9,30,0,4,18,9,0,30,3,3,100.0,0,0.0,18,121,30,0,0,0,3,1,19,4,Matches,2024-05-18
40,Bastos,ao ANG,DF,Botafogo (RJ),33-052,1991,5.4,373,54,171,199,7,3,373,0,0,,0,,231,804,345,1,0,0,3,0,267,0,Matches,2024-05-18
41,Rodrigo Battaglia,ar ARG,DF,Atlético Mineiro,32-311,1991,2.4,161,18,87,66,8,3,161,1,1,100.0,0,0.0,83,499,201,0,0,0,0,0,101,0,Matches,2024-05-18
42,José Luis Rodríguez Bebanz,uy URU,FW,Vasco da Gama,27-065,1997,0.0,4,0,0,1,3,0,4,0,0,,0,,1,2,1,0,0,0,0,0,2,1,Matches,2024-05-18
43,Ramiro Benetti,br BRA,MF,Cruzeiro,30-362,1993,2.4,136,2,19,88,29,6,136,0,0,,0,,65,201,94,0,2,0,5,2,90,9,Matches,2024-05-18
44,Bento,br BRA,GK,Ath Paranaense,24-343,1999,6.0,155,134,154,1,0,0,155,0,0,,0,,83,454,253,0,0,0,0,0,65,0,Matches,2024-05-18
45,Raul Bicalho,br BRA,DF,Corinthians,25-024,1999,1.0,71,4,39,27,5,1,71,3,2,66.7,1,33.3,37,130,62,1,0,0,1,0,47,2,Matches,2024-05-18
46,Matheus Bidu,br BRA,DF,Corinthians,25-014,1999,0.2,15,3,6,8,1,0,15,0,0,,0,,10,58,39,1,0,0,0,1,8,0,Matches,2024-05-18
47,Biel,br BRA,"FW,MF",Bahia,23-047,2001,1.6,67,2,7,28,33,9,67,5,3,60.0,2,40.0,38,289,153,6,5,2,3,1,44,19,Matches,2024-05-18
48,Guilherme Biro,br BRA,MF,Corinthians,20-028,2004,0.1,10,0,0,4,6,0,10,0,0,,0,,8,50,25,0,1,0,0,0,9,1,Matches,2024-05-18
49,Damián Bobadilla,py PAR,MF,São Paulo,22-312,2001,2.1,125,1,22,76,27,6,125,1,0,0.0,1,100.0,69,261,124,2,3,1,0,1,92,2,Matches,2024-05-18
50,Yannick Bolasie,cd COD,FW,Criciúma,34-360,1989,1.9,61,1,1,24,38,9,61,9,4,44.4,5,55.6,43,265,172,8,3,7,6,4,57,18,Matches,2024-05-18
51,Thiago Borbas,uy URU,FW,Red Bull Bragantino,22-041,2002,2.2,64,8,14,22,29,12,64,0,0,,0,,24,75,23,0,1,0,8,3,34,11,Matches,2024-05-18
52,Marllon Borges,br BRA,DF,Cuiabá,32-032,1992,4.0,210,24,109,93,9,5,210,0,0,,0,,88,389,223,2,0,0,1,0,120,1,Matches,2024-05-18
53,Pedro Borges,br BRA,MF,Fortaleza,27-076,1997,2.4,131,5,33,86,13,1,131,4,2,50.0,0,0.0,44,236,81,0,1,0,3,0,60,3,Matches,2024-05-18
54,Rafael Borré,co COL,FW,Internacional,28-246,1995,4.0,120,4,8,41,72,24,119,5,2,40.0,3,60.0,58,231,78,3,1,2,10,4,85,26,Matches,2024-05-18
55,Danilo Boza,br BRA,DF,Juventude,26-012,1998,3.0,207,34,110,86,13,9,207,2,1,50.0,0,0.0,127,660,435,2,0,0,1,0,144,2,Matches,2024-05-18
