Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Curr_Date
38,Barreto,br BRA,MF,Criciúma,28-160,1995,2.9,5,4,4,1,0,3,10,30.0,7,11,5,6,1,6,5,0,Matches,18-05-2024
39,Gabriel Barros,br BRA,"FW,MF",Atl Goianiense,22-206,2001,0.9,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,0,0,Matches,18-05-2024
40,Bastos,ao ANG,DF,Botafogo (RJ),33-052,1991,5.4,7,5,4,3,0,5,8,62.5,3,5,3,2,4,11,36,0,Matches,18-05-2024
41,Rodrigo Battaglia,ar ARG,DF,Atlético Mineiro,32-311,1991,2.4,4,1,2,1,1,3,3,100.0,0,2,2,0,1,5,6,0,Matches,18-05-2024
42,José Luis Rodríguez Bebanz,uy URU,FW,Vasco da Gama,27-065,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
43,Ramiro Benetti,br BRA,MF,Cruzeiro,30-362,1993,2.4,3,2,0,2,1,2,8,25.0,6,5,0,5,1,4,2,0,Matches,18-05-2024
44,Bento,br BRA,GK,Ath Paranaense,24-343,1999,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,18-05-2024
45,Raul Bicalho,br BRA,DF,Corinthians,25-024,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,4,4,2,0,Matches,18-05-2024
46,Matheus Bidu,br BRA,DF,Corinthians,25-014,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,Matches,18-05-2024
47,Biel,br BRA,"FW,MF",Bahia,23-047,2001,1.6,2,2,1,1,0,0,3,0.0,3,3,0,3,1,3,0,0,Matches,18-05-2024
48,Guilherme Biro,br BRA,MF,Corinthians,20-028,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,18-05-2024
49,Damián Bobadilla,py PAR,MF,São Paulo,22-312,2001,2.1,10,6,6,3,1,3,8,37.5,5,1,0,1,1,11,2,0,Matches,18-05-2024
50,Yannick Bolasie,cd COD,FW,Criciúma,34-360,1989,1.9,1,0,0,1,0,0,1,0.0,1,1,1,0,0,1,0,0,Matches,18-05-2024
51,Thiago Borbas,uy URU,FW,Red Bull Bragantino,22-041,2002,2.2,3,2,0,3,0,2,3,66.7,1,3,2,1,0,3,7,0,Matches,18-05-2024
52,Marllon Borges,br BRA,DF,Cuiabá,32-032,1992,4.0,6,4,6,0,0,5,6,83.3,1,5,2,3,5,11,23,0,Matches,18-05-2024
