Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_2,Matches,Curr_Date
52,Matheus Belém,br BRA,DF,São Paulo,21-095,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
53,Ramiro Benetti,br BRA,MF,Cruzeiro,30-362,1993,4,219,55,48.7,2.4,3,73,1,1,1,0,1.75,2,5,-3,-1.23,-2.79,2.3,3.4,-1.1,-0.44,-0.67,Matches,18-05-2024
54,Bento,br BRA,GK,Ath Paranaense,24-343,1999,6,540,90,100.0,6.0,6,90,6,0,,0,2.17,9,3,+6,+1.00,,7.4,6.5,+0.9,+0.15,,Matches,18-05-2024
55,Alexandro Bernabei,ar ARG,DF,Internacional,23-237,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,18-05-2024
56,Lucas Besozzi,ar ARG,MF,Grêmio,21-117,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
57,Raul Bicalho,br BRA,DF,Corinthians,25-024,1999,1,90,90,16.7,1.0,1,90,1,0,,4,0.00,0,1,-1,-1.00,-0.80,1.2,0.5,+0.7,+0.74,+0.53,Matches,18-05-2024
58,Matheus Bidu,br BRA,DF,Corinthians,25-014,1999,1,18,18,3.3,0.2,0,,0,1,18,5,3.00,0,0,0,0.00,+0.34,0.1,0.1,+0.1,+0.29,-0.01,Matches,18-05-2024
59,Biel,br BRA,"FW,MF",Bahia,23-047,2001,6,142,24,26.3,1.6,0,,0,6,24,0,2.17,4,2,+2,+1.27,+1.04,3.8,1.5,+2.3,+1.47,+1.18,Matches,18-05-2024
60,Guilherme Biro,br BRA,MF,Corinthians,20-028,2004,2,10,5,1.9,0.1,0,,0,2,5,1,1.50,0,0,0,0.00,+0.34,0.1,0.0,+0.1,+1.00,+0.72,Matches,18-05-2024
61,Damián Bobadilla,py PAR,MF,São Paulo,22-312,2001,4,188,47,34.8,2.1,3,60,1,1,9,2,2.50,1,1,0,0.00,-1.02,2.7,1.3,+1.4,+0.69,-0.17,Matches,18-05-2024
62,Yannick Bolasie,cd COD,FW,Criciúma,34-360,1989,3,170,57,63.0,1.9,2,69,0,1,33,0,1.67,3,2,+1,+0.53,-2.17,1.0,2.4,-1.4,-0.75,-1.11,Matches,18-05-2024
63,Thiago Borbas,uy URU,FW,Red Bull Bragantino,22-041,2002,6,197,33,36.5,2.2,1,76,0,5,24,0,1.50,3,3,0,0.00,-0.26,1.4,3.5,-2.1,-0.94,-0.38,Matches,18-05-2024
64,Marllon Borges,br BRA,DF,Cuiabá,32-032,1992,4,360,90,100.0,4.0,4,90,4,0,,0,0.00,0,10,-10,-2.50,,2.3,6.5,-4.2,-1.06,,Matches,18-05-2024
65,Pedro Borges,br BRA,MF,Fortaleza,27-076,1997,4,217,54,48.2,2.4,2,87,1,2,22,0,1.50,2,3,-1,-0.41,-1.19,3.1,2.5,+0.5,+0.21,+0.36,Matches,18-05-2024
66,Rafael Borré,co COL,FW,Internacional,28-246,1995,4,360,90,100.0,4.0,4,90,4,0,,0,1.75,4,3,+1,+0.25,,6.5,3.3,+3.2,+0.80,,Matches,18-05-2024
67,Danilo Boza,br BRA,DF,Juventude,26-012,1998,3,270,90,75.0,3.0,3,90,3,0,,0,1.33,4,6,-2,-0.67,-0.67,3.0,5.1,-2.1,-0.69,-0.55,Matches,18-05-2024
68,Breno,br BRA,FW,Fortaleza,28-115,1996,3,193,64,42.9,2.1,3,64,0,0,,0,1.00,2,2,0,0.00,-0.35,2.2,1.9,+0.3,+0.14,+0.20,Matches,18-05-2024
69,Breno,br BRA,"FW,MF",Palmeiras,28-115,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
70,Breno,br BRA,MF,Corinthians,19-088,2005,4,265,66,49.1,2.9,3,86,1,1,7,2,1.00,3,2,+1,+0.34,+1.32,4.6,2.8,+1.8,+0.61,+0.61,Matches,18-05-2024
71,Emanuel Brítez,ar ARG,DF,Fortaleza,32-053,1992,4,360,90,80.0,4.0,4,90,4,0,,0,1.40,5,4,+1,+0.25,+0.25,3.7,3.7,+0.1,+0.02,-0.02,Matches,18-05-2024
72,Bruninho,br BRA,"FW,MF",Red Bull Bragantino,21-065,2003,2,79,40,14.6,0.9,1,60,0,1,19,2,3.00,2,0,+2,+2.28,+2.47,0.6,0.8,-0.2,-0.25,+0.53,Matches,18-05-2024
73,Fabrício Bruno,br BRA,DF,Flamengo,28-096,1996,5,450,90,83.3,5.0,5,90,5,0,,1,2.00,6,4,+2,+0.40,+0.40,5.2,5.3,0.0,-0.01,-1.13,Matches,18-05-2024
74,Fabricio Bustos,ar ARG,"DF,MF",Internacional,28-020,1996,4,285,71,79.2,3.2,3,85,1,1,29,0,1.75,4,3,+1,+0.32,+0.32,5.8,2.3,+3.5,+1.12,+1.51,Matches,18-05-2024
75,Rafael Cabral,br BRA,GK,Grêmio,33-364,1990,1,90,90,25.0,1.0,1,90,1,0,,0,0.00,0,1,-1,-1.00,-1.67,0.1,1.1,-1.0,-1.03,-1.23,Matches,18-05-2024
76,Cacá,br BRA,DF,Corinthians,25-023,1999,3,254,85,47.0,2.8,3,85,2,0,,3,1.33,3,2,+1,+0.35,+1.30,4.6,3.1,+1.5,+0.54,+0.45,Matches,18-05-2024
77,Raúl Cáceres,py PAR,DF,Vitória,32-243,1991,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
78,Caetano,br BRA,DF,Corinthians,24-329,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,18-05-2024
79,Gabriel Caetano,br BRA,MF,Red Bull Bragantino,22-014,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,18-05-2024
80,Jonathan Cafu,br BRA,"MF,FW",Cuiabá,32-313,1991,3,103,34,28.6,1.1,1,66,0,2,19,1,0.00,0,2,-2,-1.75,+1.05,1.3,1.3,0.0,+0.03,+1.52,Matches,18-05-2024
81,Caíque,br BRA,GK,Grêmio,26-292,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,18-05-2024
82,Lucas Calegari,br BRA,DF,Fluminense,22-081,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,18-05-2024
83,Jonathan Calleri,ar ARG,FW,São Paulo,30-238,1993,5,397,79,73.5,4.4,5,79,3,0,,0,1.40,6,5,+1,+0.23,-1.66,5.8,2.7,+3.1,+0.70,-0.40,Matches,18-05-2024
